Name,Score,Start,End,Fickett,pI,ORF_integrity,Label,Direction
NC_054857.1_1017696_1017917,7.67756e-5,none,none,0.6862,9.42803955078,0,noncoding,forward
NC_054857.1_105292_105486,2.96958e-4,none,none,0.6039,7.74188232422,0,noncoding,forward
NC_054857.1_1060342_1059931,7.25128e-4,none,none,1.0993,9.48150634766,0,noncoding,forward
NC_054857.1_1086192_1086638,2.6575e-4,none,none,0.869,7.79974365234,0,noncoding,reverse
NC_054857.1_1087754_1087290,1.00707e-4,none,none,1.1513,5.31658935547,0,noncoding,forward
NC_054857.1_1116103_1116964,8.68635e-4,none,none,0.8198,11.868347168,0,noncoding,reverse
NC_054857.1_1149480_1149364,3.24877e-4,none,none,0.6978,9.49273681641,0,noncoding,forward
NC_054857.1_1237158_1236834,2.26278e-4,none,none,0.7233,8.27398681641,0,noncoding,forward
NC_054857.1_1268505_1268332,8.72521e-4,none,none,1.1704,3.82696533203,0,noncoding,reverse
NC_054857.1_1291948_1291686,5.61798e-4,none,none,0.6469,6.70343017578,0,noncoding,forward
NC_054857.1_1312260_1312679,1.38961e-4,none,none,1.0354,6.80731201172,0,noncoding,reverse
NC_054857.1_1376969_1377107,3.5953e-4,none,none,0.773,10.7864379883,0,noncoding,forward
NC_054857.1_1420388_1420203,0.0175443,none,none,1.1716,5.34332275391,0,noncoding,forward
NC_054857.1_1422657_1422239,6.81692e-4,none,none,0.5525,8.96649169922,0,noncoding,forward
NC_054857.1_1444338_1444122,0.00120063,none,none,0.4982,11.4371948242,0,noncoding,forward
NC_054857.1_1469653_1469308,8.48926e-5,none,none,0.8201,5.97088623047,0,noncoding,forward
NC_054857.1_1490894_1490749,6.41604e-4,none,none,0.5067,5.30242919922,0,noncoding,reverse
NC_054857.1_1493254_1493168,1.82343e-4,none,none,0.7008,5.98138427734,0,noncoding,reverse
NC_054857.1_1512368_1512215,1.72119e-4,none,none,0.7638,9.38714599609,0,noncoding,reverse
NC_054857.1_153440_154113,1.11173e-4,none,none,0.9385,9.53436279297,0,noncoding,forward
