Name,Score,Label,Direction
NC_058368.1_100143404_100143247,-1.87842,Non-coding,reverse
NC_058368.1_100944920_100945064,-2.0397,Non-coding,reverse
NC_058368.1_10339999_10339865,-1.9112,Non-coding,reverse
NC_058368.1_108744_108897,-2.21678,Non-coding,forward
NC_058368.1_11354751_11354850,-2.27892,Non-coding,forward
NC_058368.1_113885875_113885734,-2.01238,Non-coding,forward
NC_058368.1_114260154_114260058,-2.36851,Non-coding,forward
NC_058368.1_114513551_114513398,-2.13704,Non-coding,reverse
NC_058368.1_114540234_114540317,-2.26618,Non-coding,forward
NC_058368.1_1149651_1149772,-2.13982,Non-coding,forward
NC_058368.1_115036438_115036639,-1.35477,Non-coding,forward
NC_058368.1_116262586_116262412,-1.39729,Non-coding,forward
NC_058368.1_116549380_116549488,-1.33374,Non-coding,reverse
NC_058368.1_121418686_121418547,-1.57718,Non-coding,reverse
NC_058368.1_122834981_122834852,-0.86073,Non-coding,forward
NC_058368.1_123601720_123601852,-2.26379,Non-coding,forward
NC_058368.1_127209649_127209560,-2.0893,Non-coding,forward
NC_058368.1_132522425_132522295,-2.1072,Non-coding,forward
NC_058368.1_135820738_135820895,-1.80518,Non-coding,forward
NC_058368.1_139073729_139073580,-2.09607,Non-coding,forward
NC_058368.1_139486900_139486810,-2.07008,Non-coding,forward
NC_058368.1_141985495_141985332,-1.78148,Non-coding,forward
NC_058368.1_144199406_144199290,-2.31102,Non-coding,reverse
NC_058368.1_1476164_1476058,-2.24517,Non-coding,forward
NC_058368.1_172162181_172162292,-2.44588,Non-coding,forward
NC_058368.1_172841533_172841652,-2.21623,Non-coding,forward
NC_058368.1_174607086_174606873,-1.82005,Non-coding,reverse
NC_058368.1_176376836_176376741,-1.75466,Non-coding,forward
NC_058368.1_178153059_178152976,-2.34572,Non-coding,forward
NC_058368.1_186062362_186062255,-2.276,Non-coding,forward
NC_058368.1_187313362_187313448,-2.02753,Non-coding,forward
NC_058368.1_187589220_187589352,-1.75157,Non-coding,forward
NC_058368.1_189823176_189823285,-2.18545,Non-coding,forward
NC_058368.1_192327387_192327550,-1.60511,Non-coding,forward
NC_058368.1_195468379_195468549,-1.43207,Non-coding,reverse
NC_058368.1_195674942_195675074,-1.64908,Non-coding,forward
NC_058368.1_197344342_197344427,-1.77957,Non-coding,forward
NC_058368.1_209242684_209242800,-2.20032,Non-coding,forward
NC_058368.1_210817187_210817016,-1.79642,Non-coding,reverse
NC_058368.1_211304612_211304762,-1.71144,Non-coding,reverse
NC_058368.1_211471101_211470951,-1.95474,Non-coding,forward
NC_058368.1_211831080_211831224,-0.597536,Non-coding,forward
NC_058368.1_212139249_212139419,-1.71495,Non-coding,forward
NC_058368.1_218669458_218670340,-0.493052,Non-coding,forward
NC_058368.1_21920699_21920840,-1.72226,Non-coding,forward
NC_058368.1_227532305_227532156,-1.93778,Non-coding,forward
NC_058368.1_228160298_228160522,-1.73056,Non-coding,forward
NC_058368.1_235549112_235548974,-1.6377,Non-coding,reverse
NC_058368.1_24429895_24429808,-2.06201,Non-coding,reverse
NC_058368.1_24983098_24983259,-1.93994,Non-coding,reverse
NC_058368.1_25016218_25016410,-1.88906,Non-coding,forward
NC_058368.1_28922554_28922664,-1.99923,Non-coding,forward
NC_058368.1_36138269_36138141,-2.10903,Non-coding,reverse
NC_058368.1_46256226_46256082,-1.92191,Non-coding,forward
NC_058368.1_51189148_51189025,-1.63142,Non-coding,forward
NC_058368.1_52701643_52701507,-1.98655,Non-coding,forward
NC_058368.1_5720500_5720605,-1.96428,Non-coding,forward
NC_058368.1_6469301_6469419,-2.45046,Non-coding,forward
NC_058368.1_67355289_67355371,-2.27188,Non-coding,reverse
NC_058368.1_70915411_70915048,-1.15857,Non-coding,forward
NC_058368.1_72123430_72123293,-1.7557,Non-coding,reverse
NC_058368.1_82070506_82070669,-2.09674,Non-coding,forward
NC_058368.1_82335840_82335678,-1.62342,Non-coding,forward
NC_058368.1_87415496_87415325,-2.14144,Non-coding,forward
NC_058368.1_87866546_87866464,-2.20873,Non-coding,forward
NC_058368.1_9533893_9533787,-2.44205,Non-coding,reverse
NC_058369.1_10170702_10170849,-2.05174,Non-coding,forward
NC_058369.1_101763682_101763769,-2.23789,Non-coding,forward
NC_058369.1_10331009_10330773,-0.583168,Non-coding,forward
NC_058369.1_11366856_11366725,-1.91576,Non-coding,reverse
NC_058369.1_12296002_12295858,-1.59568,Non-coding,forward
NC_058369.1_12351443_12351298,-1.58582,Non-coding,reverse
NC_058369.1_125610264_125610164,-2.27325,Non-coding,forward
NC_058369.1_12707516_12707350,-1.37803,Non-coding,forward
