Name,Score,Label,Direction
NC_066857.1_10150200_10150119,0.0158,noncoding,forward
NC_066857.1_10185436_10185211,0.0216,noncoding,forward
NC_066857.1_1031973_1031838,0.0232,noncoding,reverse
NC_066857.1_1046858_1046688,7e-4,noncoding,forward
NC_066857.1_1058868_1058588,0.9994,coding,forward
NC_066857.1_11401730_11401630,0.0518,noncoding,forward
NC_066857.1_11699537_11699322,0.0171,noncoding,forward
NC_066857.1_1188562_1189007,0.9947,coding,forward
NC_066857.1_13060604_13060704,4e-4,noncoding,forward
NC_066857.1_1330646_1330741,3e-4,noncoding,forward
NC_066857.1_1519602_1519505,0.0118,noncoding,forward
NC_066857.1_15305570_15305110,0.9643,coding,forward
NC_066857.1_15413202_15412541,0.9962,coding,forward
NC_066857.1_1619049_1618949,0.0193,noncoding,forward
NC_066857.1_1624634_1624534,0.0038,noncoding,forward
NC_066857.1_16321748_16321830,0.0019,noncoding,reverse
NC_066857.1_16451381_16451266,2e-4,noncoding,forward
NC_066857.1_16597880_16597985,0.0039,noncoding,reverse
NC_066857.1_16906070_16906463,0.9023,coding,forward
NC_066857.1_17217112_17216979,0.0037,noncoding,reverse
NC_066857.1_17421844_17421982,0.0051,noncoding,forward
NC_066857.1_17441800_17441614,0.8352,coding,forward
NC_066857.1_1746074_1746167,0.0043,noncoding,forward
NC_066857.1_17552309_17551650,0.9995,coding,forward
NC_066857.1_17567408_17567294,0.3371,noncoding,forward
NC_066857.1_1864776_1864649,0.0016,noncoding,reverse
NC_066857.1_1997165_1997066,8e-4,noncoding,forward
NC_066857.1_20708049_20707949,0.0025,noncoding,forward
NC_066857.1_2110250_2110078,0.1562,noncoding,forward
NC_066857.1_21308024_21307620,0.9871,coding,forward
NC_066857.1_22785337_22785513,0.0309,noncoding,forward
NC_066857.1_2280365_2280469,0.0021,noncoding,forward
NC_066857.1_2333573_2333728,0.0289,noncoding,reverse
NC_066857.1_23377299_23377569,0.1939,noncoding,forward
NC_066857.1_25204442_25204559,5e-4,noncoding,reverse
NC_066857.1_26252485_26252393,0.6328,coding,reverse
NC_066857.1_27026603_27026687,8e-4,noncoding,reverse
NC_066857.1_28952234_28952411,0.075,noncoding,forward
NC_066857.1_29128090_29127889,0.9703,coding,forward
NC_066857.1_2914258_2914426,0.1829,noncoding,forward
NC_066857.1_30374414_30373299,0.9852,coding,forward
NC_066857.1_30431996_30432272,0.0481,noncoding,forward
NC_066857.1_307584_307766,6e-4,noncoding,forward
NC_066857.1_30803104_30803016,0.0017,noncoding,forward
NC_066857.1_3097522_3097423,4e-4,noncoding,reverse
NC_066857.1_3102072_3101911,0.0305,noncoding,reverse
NC_066857.1_31435156_31435033,0.0021,noncoding,forward
NC_066857.1_31835027_31834910,0.0992,noncoding,forward
NC_066857.1_31857979_31858065,3e-4,noncoding,reverse
NC_066857.1_3186680_3187211,0.9997,coding,forward
NC_066857.1_32499935_32500387,0.9995,coding,forward
NC_066857.1_32712614_32712476,6e-4,noncoding,forward
NC_066857.1_32742241_32742364,0.0074,noncoding,reverse
NC_066857.1_32873730_32873649,2e-4,noncoding,forward
NC_066857.1_3296212_3296410,0.3683,noncoding,forward
NC_066857.1_33200420_33200189,0.7951,coding,forward
NC_066857.1_33487543_33487713,0.0013,noncoding,forward
