Name,Score,Start,End,Fickett,pI,ORF_integrity,Label,Direction
NC_066857.1_10150200_10150119,5.64126e-4,none,none,0.5279,9.39898681641,0,noncoding,reverse
NC_066857.1_10185436_10185211,4.37263e-4,none,none,0.8983,4.31610107422,0,noncoding,reverse
NC_066857.1_1031973_1031838,5.38347e-5,none,none,0.8179,8.12445068359,0,noncoding,forward
NC_066857.1_1046858_1046688,3.60298e-7,none,none,0.8152,9.26165771484,0,noncoding,forward
NC_066857.1_1058868_1058588,1.19523e-4,none,none,0.8967,9.39129638672,0,noncoding,forward
NC_066857.1_11401730_11401630,3.31965e-7,none,none,0.4672,4.35882568359,0,noncoding,forward
NC_066857.1_11699537_11699322,3.76193e-4,none,none,0.7173,4.47857666016,0,noncoding,forward
NC_066857.1_1188562_1189007,2.90146e-4,none,none,0.8399,7.84759521484,0,noncoding,reverse
NC_066857.1_13060604_13060704,3.64723e-4,none,none,0.5901,8.50555419922,0,noncoding,forward
NC_066857.1_1330646_1330741,1.38905e-5,none,none,0.8338,11.7339477539,0,noncoding,reverse
NC_066857.1_1519602_1519505,8.38808e-4,none,none,0.6279,5.75054931641,0,noncoding,forward
NC_066857.1_15305570_15305110,0.00187528,none,none,0.9132,7.89935302734,0,noncoding,reverse
NC_066857.1_15413202_15412541,8.68388e-5,none,none,0.9263,9.66412353516,0,noncoding,reverse
NC_066857.1_1619049_1618949,3.30288e-5,none,none,0.5901,5.51568603516,0,noncoding,forward
NC_066857.1_1624634_1624534,7.39523e-4,none,none,0.7218,7.97930908203,0,noncoding,reverse
NC_066857.1_16321748_16321830,1e-7,none,none,0.9115,6.82354736328,0,noncoding,forward
NC_066857.1_16451381_16451266,9.98857e-4,none,none,0.5968,11.0003051758,0,noncoding,forward
NC_066857.1_16597880_16597985,0.00900872,none,none,0.5756,11.7002563477,0,noncoding,forward
NC_066857.1_16906070_16906463,0.00280854,none,none,0.4962,9.54437255859,0,noncoding,forward
NC_066857.1_17217112_17216979,2.90621e-4,none,none,0.5515,9.25164794922,0,noncoding,reverse
NC_066857.1_17421844_17421982,0.00177814,none,none,1.0089,10.1923217773,0,noncoding,forward
NC_066857.1_17441800_17441614,1.009e-4,none,none,0.8098,6.86468505859,0,noncoding,forward
NC_066857.1_1746074_1746167,2.96614e-5,none,none,0.7954,9.96893310547,0,noncoding,forward
NC_066857.1_17552309_17551650,3.4452e-4,none,none,0.8207,10.1011352539,0,noncoding,forward
NC_066857.1_17567408_17567294,6.98419e-4,none,none,0.8885,9.25640869141,0,noncoding,forward
NC_066857.1_1864776_1864649,4.53189e-5,none,none,1.0111,10.2949829102,0,noncoding,reverse
NC_066857.1_1997165_1997066,4.98814e-5,none,none,0.7967,5.22259521484,0,noncoding,reverse
NC_066857.1_20708049_20707949,3.35426e-4,none,none,0.7051,7.99981689453,0,noncoding,reverse
NC_066857.1_2110250_2110078,1.89054e-5,none,none,0.6616,5.09027099609,0,noncoding,reverse
NC_066857.1_21308024_21307620,2.34986e-4,none,none,0.6519,5.79217529297,0,noncoding,reverse
NC_066857.1_22785337_22785513,4.83104e-5,none,none,0.7208,7.78912353516,0,noncoding,forward
NC_066857.1_2280365_2280469,0.00965529,none,none,0.9341,8.27435302734,0,noncoding,reverse
NC_066857.1_2333573_2333728,1e-7,none,none,0.7557,5.58746337891,0,noncoding,forward
NC_066857.1_23377299_23377569,0.00124636,none,none,0.6687,9.30364990234,0,noncoding,reverse
NC_066857.1_25204442_25204559,7.98672e-5,none,none,0.7226,6.50567626953,0,noncoding,reverse
NC_066857.1_26252485_26252393,6.79952e-5,none,none,0.6547,7.95343017578,0,noncoding,reverse
NC_066857.1_27026603_27026687,1e-7,none,none,0.3982,3.99884033203,0,noncoding,forward
NC_066857.1_28952234_28952411,0.00278274,none,none,0.4915,9.10052490234,0,noncoding,reverse
NC_066857.1_29128090_29127889,5.67675e-4,none,none,0.6033,7.94598388672,0,noncoding,forward
NC_066857.1_2914258_2914426,6.88868e-4,none,none,0.7772,5.75054931641,0,noncoding,reverse
NC_066857.1_30374414_30373299,7.69818e-4,none,none,0.7808,6.63311767578,0,noncoding,forward
NC_066857.1_30431996_30432272,0.00107388,none,none,0.4697,9.34014892578,0,noncoding,forward
NC_066857.1_307584_307766,1.53813e-4,none,none,0.7643,7.85919189453,0,noncoding,forward
NC_066857.1_30803104_30803016,4.82557e-5,none,none,0.5289,10.4662475586,0,noncoding,forward
NC_066857.1_3097522_3097423,0.00105421,none,none,0.8936,11.7339477539,0,noncoding,forward
NC_066857.1_3102072_3101911,9.13755e-4,none,none,0.4008,8.29461669922,0,noncoding,reverse
NC_066857.1_31435156_31435033,3.79528e-4,none,none,0.5874,11.5935668945,0,noncoding,forward
NC_066857.1_31835027_31834910,1e-7,none,none,0.9568,8.18853759766,0,noncoding,forward
