Name,Score,Start,End,Pval
NC_066866.1_3411687_3411810_Cucumis_melo,22.866,45,200,2.640e-04
OffPos_NC_066866.1_902095_902473_Cucumis_melo,3.555,449,457,0.680
OffPos_NC_066857.1_16597880_16597985_Cucumis_melo,7.035,68,94,0.595
OffNeg_NC_066864.1_19132427_19132340_Cucumis_melo,18.576,96,167,0.146
OffNeg_NC_066858.1_19080092_19080775_Cucumis_melo,4.601,262,273,0.443
NC_066860.1_24550866_24551126_Cucumis_melo,46.337,75,320,1.821e-14
OffPos_NC_066857.1_35688539_35687997_Cucumis_melo,5.366,645,665,0.148
NC_066868.1_25123972_25124131_Cucumis_melo,8.592,31,210,0.358
NC_066864.1_6410893_6410661_Cucumis_melo,47.941,49,225,2.008e-06
OffNeg_NC_066859.1_30853640_30853819_Cucumis_melo,6.376,45,71,0.745
OffNeg_NC_066865.1_21533667_21533579_Cucumis_melo,7.314,23,37,0.659
NC_066865.1_3380248_3380898_Cucumis_melo,27.021,371,727,6.952e-06
OffPos_NC_066863.1_1906486_1906785_Cucumis_melo,6.488,115,141,0.902
OffPos_NC_066859.1_28150038_28150236_Cucumis_melo,6.346,79,123,0.753
OffNeg_NC_066863.1_2937023_2937228_Cucumis_melo,8.139,106,114,0.937
OffPos_NC_066862.1_27834820_27834647_Cucumis_melo,8.298,187,207,0.434
OffPos_NC_066862.1_31142465_31142273_Cucumis_melo,10.771,154,171,0.509
OffNeg_NC_066864.1_2769536_2769633,0,0,0,1
NC_066862.1_1940061_1940189_Cucumis_melo,50.001,76,201,1.771e-13
NC_066857.1_37368414_37368273_Cucumis_melo,63.355,70,219,2.220e-16
OffPos_NC_066863.1_7760095_7760548_Cucumis_melo,4.156,279,290,0.371
OffPos_NC_066858.1_22033165_22033313_Cucumis_melo,6.020,131,145,0.714
NC_066858.1_2842933_2842740_Cucumis_melo,93.048,71,271,0.000e+00
OffNeg_NC_066867.1_29721658_29721514_Cucumis_melo,7.731,266,277,0.882
OffPos_NC_066867.1_7356797_7356948_Cucumis_melo,4.319,160,171,0.260
OffPos_NC_066860.1_21522020_21522124_Cucumis_melo,12.421,91,195,0.126
