Name,Score,Label,Direction
NC_058368.1_100143404_100143247,0.2655,noncoding,forward
NC_058368.1_100944920_100945064,0.0017,noncoding,forward
NC_058368.1_10339999_10339865,0.0014,noncoding,forward
NC_058368.1_108744_108897,0.0604,noncoding,forward
NC_058368.1_11354751_11354850,0.0036,noncoding,forward
NC_058368.1_113885875_113885734,5e-4,noncoding,forward
NC_058368.1_114260154_114260058,0.003,noncoding,reverse
NC_058368.1_114513551_114513398,0.0159,noncoding,forward
NC_058368.1_114540234_114540317,0.0011,noncoding,reverse
NC_058368.1_1149651_1149772,4e-4,noncoding,forward
NC_058368.1_115036438_115036639,0.0991,noncoding,reverse
NC_058368.1_116262586_116262412,0.5595,coding,forward
NC_058368.1_116549380_116549488,0.134,noncoding,forward
NC_058368.1_121418686_121418547,0.0012,noncoding,forward
NC_058368.1_122834981_122834852,0.8422,coding,forward
NC_058368.1_123601720_123601852,0.0052,noncoding,forward
NC_058368.1_127209649_127209560,3e-4,noncoding,forward
NC_058368.1_132522425_132522295,0.9743,coding,forward
NC_058368.1_135820738_135820895,0.0048,noncoding,forward
NC_058368.1_139073729_139073580,3e-4,noncoding,forward
NC_058368.1_139486900_139486810,1e-4,noncoding,forward
NC_058368.1_141985495_141985332,0.1335,noncoding,forward
NC_058368.1_144199406_144199290,0.1461,noncoding,forward
NC_058368.1_1476164_1476058,3e-4,noncoding,forward
NC_058368.1_172162181_172162292,0.02,noncoding,forward
NC_058368.1_172841533_172841652,0.0151,noncoding,forward
NC_058368.1_174607086_174606873,0.9849,coding,forward
NC_058368.1_176376836_176376741,0.1466,noncoding,forward
NC_058368.1_178153059_178152976,0.0412,noncoding,forward
NC_058368.1_186062362_186062255,0.0111,noncoding,forward
NC_058368.1_187313362_187313448,0.0019,noncoding,reverse
NC_058368.1_187589220_187589352,0.9864,coding,forward
NC_058368.1_189823176_189823285,4e-4,noncoding,forward
NC_058368.1_192327387_192327550,7e-4,noncoding,forward
NC_058368.1_195468379_195468549,0.9843,coding,forward
NC_058368.1_195674942_195675074,0.0019,noncoding,reverse
NC_058368.1_197344342_197344427,0.0011,noncoding,forward
NC_058368.1_209242684_209242800,0.5903,coding,reverse
NC_058368.1_210817187_210817016,0.001,noncoding,reverse
NC_058368.1_211304612_211304762,0.1011,noncoding,forward
NC_058368.1_211471101_211470951,0.3869,noncoding,forward
NC_058368.1_211831080_211831224,0.2611,noncoding,forward
NC_058368.1_212139249_212139419,0.0014,noncoding,forward
NC_058368.1_218669458_218670340,0.9995,coding,forward
NC_058368.1_21920699_21920840,0.0078,noncoding,forward
NC_058368.1_227532305_227532156,0.0706,noncoding,reverse
NC_058368.1_228160298_228160522,0.1453,noncoding,forward
NC_058368.1_235549112_235548974,0.1779,noncoding,reverse
NC_058368.1_24429895_24429808,5e-4,noncoding,forward
NC_058368.1_24983098_24983259,0.0017,noncoding,reverse
NC_058368.1_25016218_25016410,0.2871,noncoding,forward
NC_058368.1_28922554_28922664,7e-4,noncoding,forward
NC_058368.1_36138269_36138141,4e-4,noncoding,forward
NC_058368.1_46256226_46256082,0.0021,noncoding,reverse
NC_058368.1_51189148_51189025,0.3724,noncoding,reverse
NC_058368.1_52701643_52701507,5e-4,noncoding,forward
NC_058368.1_5720500_5720605,0.0111,noncoding,reverse
NC_058368.1_6469301_6469419,9e-4,noncoding,reverse
NC_058368.1_67355289_67355371,5e-4,noncoding,forward
NC_058368.1_70915411_70915048,0.9767,coding,forward
NC_058368.1_72123430_72123293,0.0039,noncoding,forward
NC_058368.1_82070506_82070669,0.0045,noncoding,forward
NC_058368.1_82335840_82335678,0.2896,noncoding,forward
NC_058368.1_87415496_87415325,0.2903,noncoding,reverse
NC_058368.1_87866546_87866464,9e-4,noncoding,forward
NC_058368.1_9533893_9533787,8e-4,noncoding,forward
NC_058369.1_10170702_10170849,0.9923,coding,forward
NC_058369.1_101763682_101763769,0.0017,noncoding,forward
NC_058369.1_10331009_10330773,0.7986,coding,forward
NC_058369.1_11366856_11366725,0.5106,coding,forward
NC_058369.1_12296002_12295858,0.2906,noncoding,forward
NC_058369.1_12351443_12351298,0.102,noncoding,reverse
NC_058369.1_125610264_125610164,8e-4,noncoding,forward
NC_058369.1_12707516_12707350,0.9978,coding,forward
NC_058369.1_12937217_12937025,0.9864,coding,forward
NC_058369.1_13417351_13417606,0.2014,noncoding,forward
NC_058369.1_13565318_13565126,0.0284,noncoding,forward
NC_058369.1_13576224_13576018,0.0101,noncoding,reverse
NC_058369.1_139601925_139601797,0.0011,noncoding,forward
NC_058369.1_140810418_140810775,0.944,coding,forward
NC_058369.1_145194018_145193897,0.0021,noncoding,reverse
NC_058369.1_146136242_146136029,0.0194,noncoding,reverse
NC_058369.1_146400821_146400912,0.2369,noncoding,forward
NC_058369.1_148323541_148323358,0.9691,coding,forward
NC_058369.1_150665936_150665764,0.7651,coding,forward
NC_058369.1_151137441_151137321,0.5081,coding,reverse
