Name,Score,Start,End
OffNeg_NC_054858.1_1705682_1705496_aligned.fa,-113.0146,none,none
OffNeg_NC_054860.1_1410107_1410357_aligned.fa,-73.5724,none,none
OffPos_NC_054858.1_244390_244231_aligned.fa,0.0133,none,none
NC_054860.1_201114_200729_aligned.fa,0.0214,none,none
OffNeg_NC_054858.1_5196119_5196410_aligned.fa,-104.6699,none,none
NC_054857.1_5655997_5656219_aligned.fa,124.0327,none,none
OffPos_NC_054863.1_2559761_2559942_aligned.fa,-94.7310,none,none
NC_054857.1_300743_300841_aligned.fa,21.1987,none,none
OffNeg_NC_054859.1_4296781_4296912_aligned.fa,0.0073,none,none
OffPos_NC_054858.1_981620_981187_aligned.fa,-77.9763,none,none
OffNeg_NC_054862.1_3116657_3116505_aligned.fa,0.0120,none,none
NC_054857.1_3516213_3516739_aligned.fa,712.6187,none,none
NC_054864.1_1387250_1387421_aligned.fa,44.1256,none,none
OffPos_NC_054863.1_344451_344263_aligned.fa,0.0122,none,none
OffPos_NC_054863.1_1759690_1759835_aligned.fa,-125.3913,none,none
OffNeg_NC_054860.1_3845709_3844904_aligned.fa,-215.8668,none,none
NC_054857.1_4287962_4288306_aligned.fa,-23.2222,none,none
NC_054858.1_2614635_2614093_aligned.fa,168.0347,none,none
NC_054857.1_153440_154113_aligned.fa,1100.9966,none,none
NC_054861.1_3942641_3942806_aligned.fa,0.0107,none,none
OffPos_NC_054860.1_2663705_2663942_aligned.fa,-92.9566,none,none
OffNeg_NC_054860.1_3371022_3371570_aligned.fa,-376.7526,none,none
OffNeg_NC_054857.1_1086192_1086638_aligned.fa,-265.3130,none,none
OffPos_NC_054858.1_955954_956135_aligned.fa,-88.1221,none,none
OffPos_NC_054858.1_2864921_2865102_aligned.fa,-137.2363,none,none
OffNeg_NC_054860.1_4171597_4171966_aligned.fa,0.0151,none,none
OffPos_NC_054857.1_4973363_4974119_aligned.fa,-472.5781,none,none
NC_054857.1_2861532_2861647_aligned.fa,100.3525,none,none
OffPos_NC_054862.1_2190467_2190774_aligned.fa,0.0172,none,none
OffNeg_NC_054861.1_3004068_3003817_aligned.fa,-40.6250,none,none
OffPos_NC_054857.1_1268505_1268332_aligned.fa,-48.0499,none,none
OffNeg_NC_054857.1_823993_825040_aligned.fa,-643.2264,none,none
OffNeg_NC_054863.1_840485_840328_aligned.fa,-98.6145,none,none
OffPos_NC_054860.1_394364_394582_aligned.fa,-142.2872,none,none
OffPos_NC_054861.1_55313_55549_aligned.fa,0.0147,none,none
OffNeg_NC_054863.1_1888455_1888206_aligned.fa,-69.0778,none,none
OffNeg_NC_054863.1_2260539_2260385_aligned.fa,-91.8081,none,none
NC_054859.1_2107218_2106931_aligned.fa,-44.8075,none,none
OffNeg_NC_054859.1_2836536_2837397_aligned.fa,-685.4866,none,none
OffPos_NC_054863.1_497107_497638_aligned.fa,-143.2255,none,none
OffNeg_NC_054861.1_1648189_1649386_aligned.fa,-441.4278,none,none
OffNeg_NC_054859.1_1938005_1937705_aligned.fa,0.0162,none,none
OffPos_NC_054859.1_3248266_3248502_aligned.fa,31.2881,none,none
OffPos_NC_054862.1_1076499_1076133_aligned.fa,-248.4767,none,none
NC_054857.1_4408949_4407954_aligned.fa,1594.8499,none,none
NC_054857.1_2449753_2449624_aligned.fa,63.2094,none,none
OffNeg_NC_054860.1_3843923_3843431_aligned.fa,-194.1645,none,none
OffNeg_NC_054864.1_533927_533538_aligned.fa,-260.3431,none,none
NC_054859.1_1082673_1082460_aligned.fa,-161.3579,none,none
OffNeg_NC_054861.1_2553899_2554045_aligned.fa,0.0102,none,none
OffPos_NC_054860.1_1552591_1553009_aligned.fa,-370.2938,none,none
OffNeg_NC_054857.1_4960162_4960354_aligned.fa,-67.3076,none,none
OffNeg_NC_054858.1_4357612_4357822_aligned.fa,-119.3622,none,none
OffNeg_NC_054860.1_235501_235830_aligned.fa,0.0148,none,none
NC_054864.1_2697359_2697472_aligned.fa,9.7256,none,none
NC_054859.1_3744961_3745402_aligned.fa,357.1909,none,none
NC_054858.1_1017705_1017406_aligned.fa,-41.0382,none,none
OffPos_NC_054858.1_164669_164411_aligned.fa,-184.2838,none,none
NC_054859.1_2323240_2323341_aligned.fa,-35.5025,none,none
OffPos_NC_054862.1_2980724_2980148_aligned.fa,-249.6357,none,none
NC_054863.1_1686303_1687344_aligned.fa,779.6719,none,none
OffPos_NC_054857.1_3980768_3980505_aligned.fa,-49.3977,none,none
OffPos_NC_054859.1_3194951_3195869_aligned.fa,0.0321,none,none
OffNeg_NC_054857.1_3358793_3359131_aligned.fa,-85.8295,none,none
OffNeg_NC_054860.1_2739088_2738985_aligned.fa,0.0119,none,none
NC_054857.1_5692877_5692459_aligned.fa,0.0257,none,none
OffPos_NC_054860.1_2425205_2424985_aligned.fa,-54.2250,none,none
OffPos_NC_054864.1_1560580_1560224_aligned.fa,-118.5854,none,none
OffNeg_NC_054860.1_3936389_3936293_aligned.fa,-60.9571,none,none
OffPos_NC_054858.1_170633_169674_aligned.fa,-331.3752,none,none
NC_054863.1_2101127_2100838_aligned.fa,639.5370,none,none
OffNeg_NC_054863.1_2356704_2356951_aligned.fa,-22.7384,none,none
OffPos_NC_054858.1_3390308_3390178_aligned.fa,-39.4929,none,none
OffNeg_NC_054857.1_1875479_1875564_aligned.fa,-39.7161,none,none
OffPos_NC_054857.1_5786354_5786079_aligned.fa,-144.4470,none,none
OffPos_NC_054861.1_1454772_1454203_aligned.fa,-149.8069,none,none
OffPos_NC_054857.1_2375710_2375627_aligned.fa,-23.2096,none,none
NC_054863.1_323995_322897_aligned.fa,2411.3229,none,none
OffPos_NC_054857.1_2690148_2690235_aligned.fa,8.3715,none,none
NC_054863.1_1046922_1046823_aligned.fa,82.2429,none,none
OffPos_NC_054859.1_3474136_3473752_aligned.fa,0.0247,none,none
NC_054858.1_48650_48864_aligned.fa,0.0127,none,none
NC_054859.1_4181284_4180764_aligned.fa,-89.6627,none,none
OffNeg_NC_054863.1_1309797_1309420_aligned.fa,-201.3102,none,none
OffNeg_NC_054863.1_1594979_1594810_aligned.fa,-1.1687,none,none
OffNeg_NC_054858.1_3927279_3926247_aligned.fa,-702.0365,none,none
OffPos_NC_054858.1_1471038_1470843_aligned.fa,-67.6927,none,none
OffPos_NC_054864.1_1570557_1571017_aligned.fa,-166.8355,none,none
OffPos_NC_054858.1_1917335_1917711_aligned.fa,0.0207,none,none
NC_054861.1_3281391_3282360_aligned.fa,1107.7002,none,none
OffNeg_NC_054857.1_4822234_4823003_aligned.fa,-665.4565,none,none
