Name,Score,Start,End,Label,Direction
NC_066857.1_10150200_10150119,1.262,none,none,Coding,reverse
NC_066857.1_10185436_10185211,-1.509,none,none,Non-coding,reverse
NC_066857.1_1031973_1031838,-0.135,none,none,Non-coding,reverse
NC_066857.1_1046858_1046688,-0.532,none,none,Non-coding,forward
NC_066857.1_1058868_1058588,-1.482,none,none,Non-coding,reverse
NC_066857.1_11401730_11401630,-0.713,none,none,Non-coding,reverse
NC_066857.1_11699537_11699322,0.734,none,none,Coding,forward
NC_066857.1_1188562_1189007,0.206,none,none,Coding,forward
NC_066857.1_13060604_13060704,-0.768,none,none,Non-coding,forward
NC_066857.1_1330646_1330741,-0.525,none,none,Non-coding,reverse
NC_066857.1_1519602_1519505,0.735,none,none,Coding,forward
NC_066857.1_15305570_15305110,0.316,none,none,Coding,forward
NC_066857.1_15413202_15412541,-0.954,none,none,Non-coding,reverse
NC_066857.1_1619049_1618949,-0.474,none,none,Non-coding,reverse
NC_066857.1_1624634_1624534,-0.696,none,none,Non-coding,reverse
NC_066857.1_16321748_16321830,-0.368,none,none,Non-coding,forward
NC_066857.1_16451381_16451266,-0.699,none,none,Non-coding,forward
NC_066857.1_16597880_16597985,-0.585,none,none,Non-coding,forward
NC_066857.1_16906070_16906463,-0.215,none,none,Non-coding,forward
NC_066857.1_17217112_17216979,-0.346,none,none,Non-coding,reverse
NC_066857.1_17421844_17421982,-0.221,none,none,Non-coding,forward
NC_066857.1_17441800_17441614,0.242,none,none,Coding,reverse
NC_066857.1_1746074_1746167,-0.441,none,none,Non-coding,forward
NC_066857.1_17552309_17551650,0.678,none,none,Coding,forward
NC_066857.1_17567408_17567294,0,none,none,Non-coding,reverse
NC_066857.1_1864776_1864649,-1.005,none,none,Non-coding,forward
NC_066857.1_1997165_1997066,0.033,none,none,Coding,reverse
NC_066857.1_20708049_20707949,-1.008,none,none,Non-coding,reverse
NC_066857.1_2110250_2110078,-0.525,none,none,Non-coding,forward
NC_066857.1_21308024_21307620,-0.508,none,none,Non-coding,forward
NC_066857.1_22785337_22785513,-1.17,none,none,Non-coding,forward
NC_066857.1_2280365_2280469,-0.873,none,none,Non-coding,reverse
NC_066857.1_2333573_2333728,0.194,none,none,Coding,reverse
NC_066857.1_23377299_23377569,-0.51,none,none,Non-coding,forward
NC_066857.1_25204442_25204559,-0.419,none,none,Non-coding,reverse
NC_066857.1_26252485_26252393,-1.003,none,none,Non-coding,forward
NC_066857.1_27026603_27026687,0.358,none,none,Non-coding,reverse
NC_066857.1_28952234_28952411,-1.456,none,none,Non-coding,forward
NC_066857.1_29128090_29127889,1.281,none,none,Non-coding,reverse
NC_066857.1_2914258_2914426,-1.476,none,none,Non-coding,forward
NC_066857.1_30374414_30373299,2.009,none,none,Coding,forward
NC_066857.1_30431996_30432272,-0.007,none,none,Non-coding,forward
NC_066857.1_307584_307766,0.341,none,none,Coding,forward
NC_066857.1_30803104_30803016,-0.367,none,none,Non-coding,reverse
NC_066857.1_3097522_3097423,0,none,none,Non-coding,reverse
NC_066857.1_3102072_3101911,-0.883,none,none,Non-coding,reverse
NC_066857.1_31435156_31435033,-0.283,none,none,Non-coding,reverse
NC_066857.1_31835027_31834910,-0.311,none,none,Non-coding,forward
NC_066857.1_31857979_31858065,-1.989,none,none,Non-coding,forward
NC_066857.1_3186680_3187211,-0.239,none,none,Non-coding,forward
NC_066857.1_32499935_32500387,-0.514,none,none,Non-coding,forward
NC_066857.1_32712614_32712476,-1.031,none,none,Non-coding,forward
NC_066857.1_32742241_32742364,-0.439,none,none,Non-coding,reverse
NC_066857.1_32873730_32873649,0.339,none,none,Coding,forward
NC_066857.1_3296212_3296410,-0.965,none,none,Non-coding,forward
NC_066857.1_33200420_33200189,-0.344,none,none,Non-coding,reverse
NC_066857.1_33487543_33487713,2.951,none,none,Non-coding,forward
NC_066857.1_33503834_33503946,-0.279,none,none,Non-coding,forward
NC_066857.1_33791747_33791663,-0.166,none,none,Non-coding,reverse
NC_066857.1_34037083_34036989,-0.515,none,none,Non-coding,reverse
NC_066857.1_34047793_34047686,0,none,none,Non-coding,reverse
NC_066857.1_34119569_34119680,-0.015,none,none,Non-coding,forward
NC_066857.1_34442833_34442593,-0.839,none,none,Non-coding,forward
NC_066857.1_34759433_34759325,-0.412,none,none,Non-coding,forward
NC_066857.1_34761952_34761869,-0.907,none,none,Non-coding,forward
NC_066857.1_34787118_34787219,0.854,none,none,Non-coding,forward
NC_066857.1_34975853_34975679,-1.378,none,none,Non-coding,reverse
NC_066857.1_35161021_35160921,0.09,none,none,Coding,reverse
NC_066857.1_35275055_35274962,0.141,none,none,Non-coding,forward
NC_066857.1_35486963_35487163,0.435,none,none,Non-coding,forward
NC_066857.1_35688539_35687997,-0.895,none,none,Non-coding,reverse
NC_066857.1_3591450_3591565,-0.414,none,none,Non-coding,forward
NC_066857.1_36624687_36624843,0,none,none,Non-coding,reverse
NC_066857.1_36746345_36746458,-1.11,none,none,Non-coding,reverse
NC_066857.1_36747366_36747559,-0.523,none,none,Non-coding,forward
NC_066857.1_36803632_36803776,-0.108,none,none,Non-coding,forward
NC_066857.1_36841918_36842156,-0.666,none,none,Non-coding,forward
NC_066857.1_37033500_37033231,-0.865,none,none,Non-coding,forward
