Name,Score,Start,End,Label
NC_058368.1_100143404_100143247_Felis_catus,0.989,1,200,Coding
NC_058368.1_100944920_100945064_Felis_catus,1.038,16,215,Coding
NC_058368.1_10339999_10339865_Felis_catus,1.014,79,278,Coding
NC_058368.1_108744_108897_Felis_catus,1.209,85,284,Coding
NC_058368.1_11354751_11354850_Felis_catus,0.773,10,209,No
NC_058368.1_113885875_113885734_Felis_catus,1.011,55,254,Coding
NC_058368.1_114260154_114260058_Felis_catus,0.997,43,242,Coding
NC_058368.1_114513551_114513398_Felis_catus,0.959,52,251,Coding
NC_058368.1_114540234_114540317_Felis_catus,0.884,31,230,No
NC_058368.1_1149651_1149772_Felis_catus,0.896,31,230,No
NC_058368.1_115036438_115036639_Felis_catus,1.313,76,275,Coding
NC_058368.1_116262586_116262412_Felis_catus,0.921,121,320,No
NC_058368.1_116549380_116549488_Felis_catus,0.695,55,254,Non-coding
NC_058368.1_121418686_121418547_Felis_catus,0.747,49,248,No
NC_058368.1_122834981_122834852_Felis_catus,1.270,46,245,Coding
NC_058368.1_123601720_123601852_Felis_catus,0.891,61,260,No
NC_058368.1_127209649_127209560_Felis_catus,0.611,40,239,Non-coding
NC_058368.1_132522425_132522295_Felis_catus,0.884,4,203,No
NC_058368.1_135820738_135820895_Felis_catus,0.954,76,275,Coding
NC_058368.1_139073729_139073580_Felis_catus,1.087,13,212,Coding
NC_058368.1_139486900_139486810_Felis_catus,0.928,25,224,No
NC_058368.1_141985495_141985332_Felis_catus,1.092,19,218,Coding
NC_058368.1_144199406_144199290_Felis_catus,0.787,40,239,No
NC_058368.1_1476164_1476058_Felis_catus,0.909,7,206,No
NC_058368.1_172162181_172162292_Felis_catus,0.940,37,236,No
NC_058368.1_172841533_172841652_Felis_catus,0.952,7,206,Coding
NC_058368.1_174607086_174606873_Felis_catus,0.969,52,251,Coding
NC_058368.1_176376836_176376741_Felis_catus,1.157,4,203,Coding
NC_058368.1_178153059_178152976_Felis_catus,0.674,1,200,Non-coding
NC_058368.1_186062362_186062255_Felis_catus,0.865,58,257,No
NC_058368.1_187313362_187313448_Felis_catus,0.958,37,236,Coding
NC_058368.1_187589220_187589352_Felis_catus,1.224,64,263,Coding
NC_058368.1_189823176_189823285_Felis_catus,0.774,37,236,No
NC_058368.1_192327387_192327550_Felis_catus,1.286,70,269,Coding
NC_058368.1_195468379_195468549_Felis_catus,1.362,79,278,Coding
NC_058368.1_195674942_195675074_Felis_catus,1.329,28,227,Coding
NC_058368.1_197344342_197344427_Felis_catus,0.647,1,200,Non-coding
NC_058368.1_209242684_209242800_Felis_catus,0.937,4,203,No
NC_058368.1_210817187_210817016_Felis_catus,0.733,16,215,Non-coding
NC_058368.1_211304612_211304762_Felis_catus,1.187,46,245,Coding
NC_058368.1_211471101_211470951_Felis_catus,1.303,13,212,Coding
NC_058368.1_211831080_211831224_Felis_catus,0.748,91,290,No
NC_058368.1_212139249_212139419_Felis_catus,0.822,82,281,No
NC_058368.1_218669458_218670340_Felis_catus,1.229,433,632,Coding
NC_058368.1_21920699_21920840_Felis_catus,0.823,13,212,No
NC_058368.1_227532305_227532156_Felis_catus,1.130,76,275,Coding
NC_058368.1_228160298_228160522_Felis_catus,1.220,142,341,Coding
NC_058368.1_235549112_235548974_Felis_catus,0.990,67,266,Coding
NC_058368.1_24429895_24429808_Felis_catus,1.127,7,206,Coding
NC_058368.1_24983098_24983259_Felis_catus,1.103,61,260,Coding
NC_058368.1_25016218_25016410_Felis_catus,1.193,1,200,Coding
NC_058368.1_28922554_28922664_Felis_catus,0.730,16,215,Non-coding
NC_058368.1_36138269_36138141_Felis_catus,0.722,64,263,Non-coding
NC_058368.1_46256226_46256082_Felis_catus,1.086,67,266,Coding
NC_058368.1_51189148_51189025_Felis_catus,1.002,67,266,Coding
NC_058368.1_52701643_52701507_Felis_catus,0.673,22,221,Non-coding
NC_058368.1_5720500_5720605_Felis_catus,1.111,52,251,Coding
NC_058368.1_6469301_6469419_Felis_catus,0.921,46,245,No
NC_058368.1_67355289_67355371_Felis_catus,0.827,4,203,No
NC_058368.1_70915411_70915048_Felis_catus,1.133,85,284,Coding
NC_058368.1_72123430_72123293_Felis_catus,0.562,7,206,Non-coding
NC_058368.1_82070506_82070669_Felis_catus,0.964,52,251,Coding
NC_058368.1_82335840_82335678_Felis_catus,1.339,58,257,Coding
NC_058368.1_87415496_87415325_Felis_catus,1.170,49,248,Coding
NC_058368.1_87866546_87866464_Felis_catus,0.960,22,221,Coding
NC_058368.1_9533893_9533787_Felis_catus,0.969,1,200,Coding
NC_058369.1_10170702_10170849_Felis_catus,1.031,88,287,Coding
NC_058369.1_101763682_101763769_Felis_catus,0.708,34,233,Non-coding
NC_058369.1_10331009_10330773_Felis_catus,1.327,181,380,Coding
NC_058369.1_11366856_11366725_Felis_catus,1.124,46,245,Coding
NC_058369.1_12296002_12295858_Felis_catus,1.215,70,269,Coding
NC_058369.1_12351443_12351298_Felis_catus,1.183,40,239,Coding
NC_058369.1_125610264_125610164_Felis_catus,0.837,1,200,No
NC_058369.1_12707516_12707350_Felis_catus,1.183,37,236,Coding
NC_058369.1_12937217_12937025_Felis_catus,1.368,19,218,Coding
NC_058369.1_13417351_13417606_Felis_catus,1.317,19,218,Coding
NC_058369.1_13565318_13565126_Felis_catus,1.079,133,332,Coding
NC_058369.1_13576224_13576018_Felis_catus,0.998,100,299,Coding
NC_058369.1_139601925_139601797_Felis_catus,1.030,55,254,Coding
NC_058369.1_140810418_140810775_Felis_catus,1.211,169,368,Coding
NC_058369.1_145194018_145193897_Felis_catus,0.846,7,206,No
NC_058369.1_146136242_146136029_Felis_catus,1.315,91,290,Coding
NC_058369.1_146400821_146400912_Felis_catus,1.027,31,230,Coding
NC_058369.1_148323541_148323358_Felis_catus,1.285,67,266,Coding
NC_058369.1_150665936_150665764_Felis_catus,0.994,103,302,Coding
NC_058369.1_151137441_151137321_Felis_catus,1.053,70,269,Coding
NC_058369.1_153033853_153033751_Felis_catus,1.171,1,200,Coding
