Name,Score,Start,End,Pval
OffNeg_NC_054858.1_1705682_1705496_Aspergillus_puulaauensis,12.741,274,333,0.193
OffNeg_NC_054860.1_1410107_1410357_Aspergillus_puulaauensis,22.511,214,378,0.012
OffPos_NC_054858.1_244390_244231,0,0,0,1
NC_054860.1_201114_200729,0,0,0,1
OffNeg_NC_054858.1_5196119_5196410_Aspergillus_puulaauensis,10.731,398,439,0.566
NC_054857.1_5655997_5656219_Aspergillus_puulaauensis,106.142,77,301,0.000e+00
OffPos_NC_054863.1_2559761_2559942_Aspergillus_puulaauensis,11.817,119,157,0.826
NC_054857.1_300743_300841_Aspergillus_puulaauensis,37.801,26,184,2.790e-04
OffNeg_NC_054859.1_4296781_4296912,0,0,0,1
OffPos_NC_054858.1_981620_981187_Aspergillus_puulaauensis,12.975,291,464,0.769
OffNeg_NC_054862.1_3116657_3116505,0,0,0,1
NC_054857.1_3516213_3516739_Aspergillus_puulaauensis,234.043,75,593,0.000e+00
NC_054864.1_1387250_1387421_Aspergillus_puulaauensis,65.590,67,258,2.320e-14
OffPos_NC_054863.1_344451_344263,0,0,0,1
OffPos_NC_054863.1_1759690_1759835_Aspergillus_puulaauensis,11.595,205,279,0.174
OffNeg_NC_054860.1_3845709_3844904_Aspergillus_puulaauensis,15.687,460,513,0.981
NC_054857.1_4287962_4288306_Aspergillus_puulaauensis,74.275,44,433,2.162e-06
NC_054858.1_2614635_2614093_Aspergillus_puulaauensis,163.036,76,618,0.000e+00
NC_054857.1_153440_154113_Aspergillus_puulaauensis,366.965,79,750,0.000e+00
NC_054861.1_3942641_3942806,0,0,0,1
OffPos_NC_054860.1_2663705_2663942_Aspergillus_puulaauensis,22.181,205,327,0.073
OffNeg_NC_054860.1_3371022_3371570_Aspergillus_puulaauensis,10.313,336,419,0.505
OffNeg_NC_054857.1_1086192_1086638_Aspergillus_puulaauensis,15.730,499,573,0.189
OffPos_NC_054858.1_955954_956135_Aspergillus_puulaauensis,15.462,75,107,0.773
OffPos_NC_054858.1_2864921_2865102_Aspergillus_puulaauensis,7.358,9,41,0.907
OffNeg_NC_054860.1_4171597_4171966,0,0,0,1
OffPos_NC_054857.1_4973363_4974119_Aspergillus_puulaauensis,7.856,104,133,0.963
NC_054857.1_2861532_2861647_Aspergillus_puulaauensis,48.811,77,196,5.802e-08
OffPos_NC_054862.1_2190467_2190774,0,0,0,1
OffNeg_NC_054861.1_3004068_3003817_Aspergillus_puulaauensis,20.309,3,149,0.239
OffPos_NC_054857.1_1268505_1268332_Aspergillus_puulaauensis,11.906,48,74,0.962
OffNeg_NC_054857.1_823993_825040_Aspergillus_puulaauensis,19.417,613,672,0.443
OffNeg_NC_054863.1_840485_840328_Aspergillus_puulaauensis,10.113,142,180,0.939
OffPos_NC_054860.1_394364_394582_Aspergillus_puulaauensis,14.659,72,248,0.053
OffPos_NC_054861.1_55313_55549,0,0,0,1
OffNeg_NC_054863.1_1888455_1888206_Aspergillus_puulaauensis,15.013,325,354,0.466
OffNeg_NC_054863.1_2260539_2260385_Aspergillus_puulaauensis,16.313,144,197,0.129
NC_054859.1_2107218_2106931_Aspergillus_puulaauensis,85.349,91,378,3.555e-07
OffNeg_NC_054859.1_2836536_2837397_Aspergillus_puulaauensis,12.789,5,82,0.120
OffPos_NC_054863.1_497107_497638_Aspergillus_puulaauensis,17.592,111,248,0.671
OffNeg_NC_054861.1_1648189_1649386_Aspergillus_puulaauensis,15.781,440,508,0.172
OffNeg_NC_054859.1_1938005_1937705,0,0,0,1
OffPos_NC_054859.1_3248266_3248502_Aspergillus_puulaauensis,51.037,3,386,1.508e-05
OffPos_NC_054862.1_1076499_1076133_Aspergillus_puulaauensis,11.546,97,165,0.344
NC_054857.1_4408949_4407954_Aspergillus_puulaauensis,503.534,75,1067,0.000e+00
NC_054857.1_2449753_2449624_Aspergillus_puulaauensis,46.294,75,206,2.682e-09
OffNeg_NC_054860.1_3843923_3843431_Aspergillus_puulaauensis,26.175,68,106,0.096
OffNeg_NC_054864.1_533927_533538_Aspergillus_puulaauensis,16.933,221,313,0.092
NC_054859.1_1082673_1082460_Aspergillus_puulaauensis,28.281,109,309,0.001
OffNeg_NC_054861.1_2553899_2554045,0,0,0,1
OffPos_NC_054860.1_1552591_1553009_Aspergillus_puulaauensis,27.465,311,454,0.044
OffNeg_NC_054857.1_4960162_4960354_Aspergillus_puulaauensis,18.102,319,339,0.327
OffNeg_NC_054858.1_4357612_4357822_Aspergillus_puulaauensis,10.331,15,89,0.597
OffNeg_NC_054860.1_235501_235830,0,0,0,1
NC_054864.1_2697359_2697472_Aspergillus_puulaauensis,45.313,35,196,5.646e-04
NC_054859.1_3744961_3745402_Aspergillus_puulaauensis,177.020,65,523,0.000e+00
NC_054858.1_1017705_1017406_Aspergillus_puulaauensis,37.986,69,305,1.145e-07
OffPos_NC_054858.1_164669_164411_Aspergillus_puulaauensis,19.522,6,56,0.229
NC_054859.1_2323240_2323341_Aspergillus_puulaauensis,35.718,38,172,1.442e-04
OffPos_NC_054862.1_2980724_2980148_Aspergillus_puulaauensis,25.177,392,472,0.057
NC_054863.1_1686303_1687344_Aspergillus_puulaauensis,322.699,80,1084,0.000e+00
OffPos_NC_054857.1_3980768_3980505_Aspergillus_puulaauensis,13.262,95,271,0.583
OffPos_NC_054859.1_3194951_3195869,0,0,0,1
OffNeg_NC_054857.1_3358793_3359131_Aspergillus_puulaauensis,12.937,284,322,0.898
OffNeg_NC_054860.1_2739088_2738985,0,0,0,1
NC_054857.1_5692877_5692459,0,0,0,1
OffPos_NC_054860.1_2425205_2424985_Aspergillus_puulaauensis,21.514,205,345,0.301
OffPos_NC_054864.1_1560580_1560224_Aspergillus_puulaauensis,16.768,411,503,0.655
OffNeg_NC_054860.1_3936389_3936293_Aspergillus_puulaauensis,5.567,222,245,0.977
OffPos_NC_054858.1_170633_169674_Aspergillus_puulaauensis,15.181,859,921,0.888
NC_054863.1_2101127_2100838_Aspergillus_puulaauensis,149.024,75,362,0.000e+00
OffNeg_NC_054863.1_2356704_2356951_Aspergillus_puulaauensis,7.022,234,275,0.945
OffPos_NC_054858.1_3390308_3390178_Aspergillus_puulaauensis,8.813,19,81,0.927
OffNeg_NC_054857.1_1875479_1875564_Aspergillus_puulaauensis,21.270,106,201,0.048
OffPos_NC_054857.1_5786354_5786079_Aspergillus_puulaauensis,13.937,3,179,0.889
OffPos_NC_054861.1_1454772_1454203_Aspergillus_puulaauensis,16.416,41,133,0.740
OffPos_NC_054857.1_2375710_2375627_Aspergillus_puulaauensis,7.611,10,21,0.997
NC_054863.1_323995_322897_Aspergillus_puulaauensis,569.704,76,1170,0.000e+00
OffPos_NC_054857.1_2690148_2690235_Aspergillus_puulaauensis,8.928,13,237,0.245
NC_054863.1_1046922_1046823_Aspergillus_puulaauensis,52.096,76,171,1.887e-15
OffPos_NC_054859.1_3474136_3473752,0,0,0,1
