Name,Score,Start,End,Fickett,pI,ORF_integrity,Label
NC_058368.1_100143404_100143247_Felis_catus,0.000100827,none,none,0.7482,7.70281982422,0,noncoding
NC_058368.1_100944920_100945064_Felis_catus,0.000309117,none,none,0.604,11.4371948242,0,noncoding
NC_058368.1_10339999_10339865_Felis_catus,0.000136898,none,none,0.7975,7.93402099609,0,noncoding
NC_058368.1_108744_108897_Felis_catus,0.000464933,none,none,1.0425,9.73297119141,0,noncoding
NC_058368.1_11354751_11354850_Felis_catus,0.000225953,none,none,0.3675,11.0404663086,0,noncoding
NC_058368.1_113885875_113885734_Felis_catus,0.00073727,none,none,0.487,7.73858642578,0,noncoding
NC_058368.1_114260154_114260058_Felis_catus,0.000191495,none,none,0.8905,5.21893310547,0,noncoding
NC_058368.1_114513551_114513398_Felis_catus,0.00283595,none,none,0.5134,7.99981689453,0,noncoding
NC_058368.1_114540234_114540317_Felis_catus,1.04302e-05,none,none,0.8515,9.30352783203,0,noncoding
NC_058368.1_1149651_1149772_Felis_catus,0.00575136,none,none,0.6485,9.52459716797,0,noncoding
NC_058368.1_115036438_115036639_Felis_catus,0.000114965,none,none,1.075,6.52386474609,0,noncoding
NC_058368.1_116262586_116262412_Felis_catus,0.000686438,none,none,0.7335,4.52532958984,0,noncoding
NC_058368.1_116549380_116549488_Felis_catus,0.000275146,none,none,0.5355,6.80755615234,0,noncoding
NC_058368.1_121418686_121418547_Felis_catus,0.000340065,none,none,0.4233,7.97784423828,0,noncoding
NC_058368.1_122834981_122834852_Felis_catus,0.000212024,none,none,1.0239,6.72198486328,0,noncoding
NC_058368.1_123601720_123601852_Felis_catus,1.02862e-07,none,none,0.6994,5.96868896484,0,noncoding
NC_058368.1_127209649_127209560_Felis_catus,3.4365e-05,none,none,0.4508,10.6204223633,0,noncoding
NC_058368.1_132522425_132522295_Felis_catus,4.30122e-06,none,none,0.6088,6.03558349609,0,noncoding
NC_058368.1_135820738_135820895_Felis_catus,8.55498e-06,none,none,0.6433,10.5178833008,0,noncoding
NC_058368.1_139073729_139073580_Felis_catus,0.00175165,none,none,0.7157,10.0629272461,0,noncoding
NC_058368.1_139486900_139486810_Felis_catus,3.70125e-05,none,none,0.739,5.33734130859,0,noncoding
NC_058368.1_141985495_141985332_Felis_catus,0.00480367,none,none,0.8523,4.63861083984,0,noncoding
NC_058368.1_144199406_144199290_Felis_catus,1e-07,none,none,0.6672,5.19647216797,0,noncoding
NC_058368.1_1476164_1476058_Felis_catus,4.80481e-05,none,none,0.9041,6.51190185547,0,noncoding
NC_058368.1_172162181_172162292_Felis_catus,0.00742355,none,none,0.7524,10.9032592773,0,noncoding
NC_058368.1_172841533_172841652_Felis_catus,0.000117438,none,none,0.9273,6.52764892578,0,noncoding
NC_058368.1_174607086_174606873_Felis_catus,0.000162582,none,none,0.8827,9.38800048828,0,noncoding
NC_058368.1_176376836_176376741_Felis_catus,0.00116559,none,none,0.9305,12.0084838867,0,noncoding
NC_058368.1_178153059_178152976_Felis_catus,6.67033e-05,none,none,0.5602,6.14495849609,0,noncoding
NC_058368.1_186062362_186062255_Felis_catus,5.26829e-05,none,none,0.8661,9.66534423828,0,noncoding
NC_058368.1_187313362_187313448_Felis_catus,3.80232e-05,none,none,0.824,9.96246337891,0,noncoding
NC_058368.1_187589220_187589352_Felis_catus,0.000417576,none,none,0.754,10.3754272461,0,noncoding
NC_058368.1_189823176_189823285_Felis_catus,2.05148e-06,none,none,0.6726,4.55657958984,0,noncoding
NC_058368.1_192327387_192327550_Felis_catus,0.000161196,none,none,0.9449,3.42266845703,0,noncoding
NC_058368.1_195468379_195468549_Felis_catus,9.44214e-05,none,none,1.1649,7.74859619141,0,noncoding
NC_058368.1_195674942_195675074_Felis_catus,0.00028781,none,none,1.2564,4.74981689453,0,noncoding
NC_058368.1_197344342_197344427_Felis_catus,3.52926e-05,none,none,0.4827,5.99554443359,0,noncoding
NC_058368.1_209242684_209242800_Felis_catus,6.67503e-05,none,none,0.6068,8.83660888672,0,noncoding
NC_058368.1_210817187_210817016_Felis_catus,0.0011962,none,none,0.588,9.89239501953,0,noncoding
NC_058368.1_211304612_211304762_Felis_catus,0.0004735,none,none,0.9592,5.02166748047,0,noncoding
NC_058368.1_211471101_211470951_Felis_catus,0.00224768,none,none,1.0589,10.016784668,0,noncoding
NC_058368.1_211831080_211831224_Felis_catus,0.000434453,none,none,0.623,9.51165771484,0,noncoding
NC_058368.1_212139249_212139419_Felis_catus,0.000923154,none,none,0.6683,9.49346923828,0,noncoding
NC_058368.1_218669458_218670340_Felis_catus,0.00586632,none,none,0.9027,5.05230712891,0,noncoding
NC_058368.1_21920699_21920840_Felis_catus,0.000211185,none,none,0.6214,9.10223388672,0,noncoding
NC_058368.1_227532305_227532156_Felis_catus,0.000192234,none,none,0.7749,4.56304931641,0,noncoding
NC_058368.1_228160298_228160522_Felis_catus,0.000490418,none,none,0.8725,4.85003662109,0,noncoding
NC_058368.1_235549112_235548974_Felis_catus,0.0002081,none,none,0.8383,9.38165283203,0,noncoding
NC_058368.1_24429895_24429808_Felis_catus,0.000393068,none,none,1.0742,4.74932861328,0,noncoding
NC_058368.1_24983098_24983259_Felis_catus,0.00137856,none,none,0.7117,4.03204345703,0,noncoding
NC_058368.1_25016218_25016410_Felis_catus,0.00271523,none,none,1.0299,7.81341552734,0,noncoding
NC_058368.1_28922554_28922664_Felis_catus,0.000177509,none,none,0.5362,5.75299072266,0,noncoding
NC_058368.1_36138269_36138141_Felis_catus,9.52496e-06,none,none,0.6016,4.55657958984,0,noncoding
NC_058368.1_46256226_46256082_Felis_catus,0.000380435,none,none,0.7905,8.02337646484,0,noncoding
NC_058368.1_51189148_51189025_Felis_catus,8.37068e-07,none,none,0.8059,5.87664794922,0,noncoding
NC_058368.1_52701643_52701507_Felis_catus,0.000165716,none,none,0.5207,6.69537353516,0,noncoding
NC_058368.1_5720500_5720605_Felis_catus,0.000417988,none,none,0.9115,10.8474731445,0,noncoding
NC_058368.1_6469301_6469419_Felis_catus,0.000959749,none,none,0.4839,9.05560302734,0,noncoding
NC_058368.1_67355289_67355371_Felis_catus,0.000999724,none,none,0.7625,11.0127563477,0,noncoding
NC_058368.1_70915411_70915048_Felis_catus,0.000327287,none,none,0.6607,9.63543701172,0,noncoding
NC_058368.1_72123430_72123293_Felis_catus,0.00301439,none,none,0.3854,9.18511962891,0,noncoding
NC_058368.1_82070506_82070669_Felis_catus,0.000497275,none,none,0.7577,5.63616943359,0,noncoding
NC_058368.1_82335840_82335678_Felis_catus,0.0195497,none,none,1.2451,11.4389038086,0,noncoding
NC_058368.1_87415496_87415325_Felis_catus,3.06306e-05,none,none,0.801,5.09832763672,0,noncoding
NC_058368.1_87866546_87866464_Felis_catus,0.0112864,none,none,1.0091,12.1287231445,0,noncoding
NC_058368.1_9533893_9533787_Felis_catus,6.79907e-06,none,none,0.8319,10.5647583008,0,noncoding
NC_058369.1_10170702_10170849_Felis_catus,0.00240213,none,none,0.7498,8.78985595703,0,noncoding
NC_058369.1_101763682_101763769_Felis_catus,0.00420739,none,none,0.6496,3.66571044922,0,noncoding
NC_058369.1_10331009_10330773_Felis_catus,0.025057,none,none,1.3379,10.4198608398,0,noncoding
NC_058369.1_11366856_11366725_Felis_catus,0.000729171,none,none,0.7845,10.373840332,0,noncoding
NC_058369.1_12296002_12295858_Felis_catus,0.00138827,none,none,0.9415,5.65728759766,0,noncoding
NC_058369.1_12351443_12351298_Felis_catus,0.00107453,none,none,0.853,5.27496337891,0,noncoding
NC_058369.1_125610264_125610164_Felis_catus,0.00127723,none,none,0.6398,7.91485595703,0,noncoding
NC_058369.1_12707516_12707350_Felis_catus,9.6572e-05,none,none,1.1363,9.09710693359,0,noncoding
NC_058369.1_12937217_12937025_Felis_catus,2.02173e-05,none,none,1.0528,10.6936645508,0,noncoding
