Name,Score,Start,End,Label
NC_066857.1_10150200_10150119_Cucumis_melo,0.630,31,230,Non-coding
NC_066857.1_10185436_10185211_Cucumis_melo,1.239,76,275,Coding
NC_066857.1_1031973_1031838_Cucumis_melo,1.096,16,215,Coding
NC_066857.1_1046858_1046688_Cucumis_melo,1.104,31,230,Coding
NC_066857.1_1058868_1058588_Cucumis_melo,1.292,190,389,Coding
NC_066857.1_11401730_11401630_Cucumis_melo,0.536,10,209,Non-coding
NC_066857.1_11699537_11699322_Cucumis_melo,0.893,163,362,No
NC_066857.1_1188562_1189007_Cucumis_melo,1.265,253,452,Coding
NC_066857.1_13060604_13060704_Cucumis_melo,0.671,1,200,Non-coding
NC_066857.1_1330646_1330741_Cucumis_melo,0.967,40,239,Coding
NC_066857.1_1519602_1519505_Cucumis_melo,1.017,4,203,Coding
NC_066857.1_15305570_15305110_Cucumis_melo,1.270,325,524,Coding
NC_066857.1_15413202_15412541_Cucumis_melo,1.308,127,326,Coding
NC_066857.1_1619049_1618949_Cucumis_melo,0.828,25,224,No
NC_066857.1_1624634_1624534_Cucumis_melo,0.950,49,248,No
NC_066857.1_16321748_16321830_Cucumis_melo,0.972,1,200,Coding
NC_066857.1_16451381_16451266_Cucumis_melo,0.912,10,209,No
NC_066857.1_16597880_16597985_Cucumis_melo,0.683,4,203,Non-coding
NC_066857.1_16906070_16906463_Cucumis_melo,0.955,142,341,Coding
NC_066857.1_17217112_17216979_Cucumis_melo,0.888,13,212,No
NC_066857.1_17421844_17421982_Cucumis_melo,1.153,37,236,Coding
NC_066857.1_17441800_17441614_Cucumis_melo,1.130,64,263,Coding
NC_066857.1_1746074_1746167_Cucumis_melo,0.905,34,233,No
NC_066857.1_17552309_17551650_Cucumis_melo,1.253,493,692,Coding
NC_066857.1_17567408_17567294_Cucumis_melo,0.976,10,209,Coding
NC_066857.1_1864776_1864649_Cucumis_melo,1.161,22,221,Coding
NC_066857.1_1997165_1997066_Cucumis_melo,0.892,34,233,No
NC_066857.1_20708049_20707949_Cucumis_melo,0.996,16,215,Coding
NC_066857.1_2110250_2110078_Cucumis_melo,1.036,31,230,Coding
NC_066857.1_21308024_21307620_Cucumis_melo,0.987,157,356,Coding
NC_066857.1_22785337_22785513_Cucumis_melo,1.176,4,203,Coding
NC_066857.1_2280365_2280469_Cucumis_melo,1.096,34,233,Coding
NC_066857.1_2333573_2333728_Cucumis_melo,1.127,58,257,Coding
NC_066857.1_23377299_23377569_Cucumis_melo,1.082,181,380,Coding
NC_066857.1_25204442_25204559_Cucumis_melo,0.905,67,266,No
NC_066857.1_26252485_26252393_Cucumis_melo,1.140,22,221,Coding
NC_066857.1_27026603_27026687_Cucumis_melo,0.582,7,206,Non-coding
NC_066857.1_28952234_28952411_Cucumis_melo,0.803,64,263,No
NC_066857.1_29128090_29127889_Cucumis_melo,1.043,40,239,Coding
NC_066857.1_2914258_2914426_Cucumis_melo,1.093,31,230,Coding
NC_066857.1_30374414_30373299_Cucumis_melo,1.166,52,251,Coding
NC_066857.1_30431996_30432272_Cucumis_melo,1.011,217,416,Coding
NC_066857.1_307584_307766_Cucumis_melo,0.852,115,314,No
NC_066857.1_30803104_30803016_Cucumis_melo,0.702,37,236,Non-coding
NC_066857.1_3097522_3097423_Cucumis_melo,1.073,13,212,Coding
NC_066857.1_3102072_3101911_Cucumis_melo,0.766,40,239,No
NC_066857.1_31435156_31435033_Cucumis_melo,0.962,16,215,Coding
NC_066857.1_31835027_31834910_Cucumis_melo,1.088,1,200,Coding
NC_066857.1_31857979_31858065_Cucumis_melo,0.560,37,236,Non-coding
NC_066857.1_3186680_3187211_Cucumis_melo,1.323,214,413,Coding
NC_066857.1_32499935_32500387_Cucumis_melo,1.283,109,308,Coding
NC_066857.1_32712614_32712476_Cucumis_melo,1.048,46,245,Coding
NC_066857.1_32742241_32742364_Cucumis_melo,0.895,28,227,No
NC_066857.1_32873730_32873649_Cucumis_melo,0.734,16,215,Non-coding
NC_066857.1_3296212_3296410_Cucumis_melo,1.219,58,257,Coding
NC_066857.1_33200420_33200189_Cucumis_melo,1.128,16,215,Coding
NC_066857.1_33487543_33487713_Cucumis_melo,1.007,82,281,Coding
NC_066857.1_33503834_33503946_Cucumis_melo,0.955,7,206,Coding
NC_066857.1_33791747_33791663_Cucumis_melo,0.842,34,233,No
NC_066857.1_34037083_34036989_Cucumis_melo,0.767,19,218,No
NC_066857.1_34047793_34047686_Cucumis_melo,0.930,37,236,No
NC_066857.1_34119569_34119680_Cucumis_melo,0.780,4,203,No
NC_066857.1_34442833_34442593_Cucumis_melo,1.071,52,251,Coding
NC_066857.1_34759433_34759325_Cucumis_melo,0.882,22,221,No
NC_066857.1_34761952_34761869_Cucumis_melo,0.852,1,200,No
NC_066857.1_34787118_34787219_Cucumis_melo,0.826,34,233,No
NC_066857.1_34975853_34975679_Cucumis_melo,1.058,64,263,Coding
NC_066857.1_35161021_35160921_Cucumis_melo,0.757,25,224,No
NC_066857.1_35275055_35274962_Cucumis_melo,0.681,37,236,Non-coding
NC_066857.1_35486963_35487163_Cucumis_melo,0.825,64,263,No
NC_066857.1_35688539_35687997_Cucumis_melo,1.250,226,425,Coding
NC_066857.1_3591450_3591565_Cucumis_melo,0.890,46,245,No
NC_066857.1_36624687_36624843_Cucumis_melo,0.931,94,293,No
NC_066857.1_36746345_36746458_Cucumis_melo,0.887,7,206,No
NC_066857.1_36747366_36747559_Cucumis_melo,1.144,94,293,Coding
NC_066857.1_36803632_36803776_Cucumis_melo,0.517,13,212,Non-coding
NC_066857.1_36841918_36842156_Cucumis_melo,0.897,88,287,No
NC_066857.1_37033500_37033231_Cucumis_melo,1.064,79,278,Coding
NC_066857.1_37180275_37180395_Cucumis_melo,0.707,7,206,Non-coding
NC_066857.1_37368414_37368273_Cucumis_melo,1.056,1,200,Coding
NC_066857.1_37409909_37409819_Cucumis_melo,0.616,4,203,Non-coding
NC_066857.1_37530596_37530510_Cucumis_melo,0.963,16,215,Coding
NC_066857.1_37600016_37600130_Cucumis_melo,0.909,4,203,No
NC_066857.1_37600282_37600888_Cucumis_melo,1.224,331,530,Coding
NC_066857.1_37654047_37653915_Cucumis_melo,0.935,46,245,No
NC_066857.1_37657131_37656339_Cucumis_melo,1.304,448,647,Coding
NC_066857.1_37703180_37703363_Cucumis_melo,1.089,22,221,Coding
NC_066857.1_37860920_37860721_Cucumis_melo,1.024,37,236,Coding
NC_066857.1_37895762_37895889_Cucumis_melo,1.126,19,218,Coding
NC_066857.1_38043589_38043488_Cucumis_melo,0.982,52,251,Coding
NC_066857.1_412289_412169_Cucumis_melo,0.822,16,215,No
NC_066857.1_619755_619659_Cucumis_melo,0.616,19,218,Non-coding
NC_066857.1_6898528_6898420_Cucumis_melo,1.022,40,239,Coding
NC_066857.1_705171_705726_Cucumis_melo,1.241,292,491,Coding
NC_066857.1_766827_766551_Cucumis_melo,1.224,1,200,Coding
NC_066857.1_7975963_7976105_Cucumis_melo,0.626,79,278,Non-coding
NC_066857.1_849314_849395_Cucumis_melo,0.894,7,206,No
NC_066857.1_868000_868081_Cucumis_melo,0.577,1,200,Non-coding
NC_066857.1_9437883_9438093_Cucumis_melo,1.259,82,281,Coding
NC_066857.1_962533_962323_Cucumis_melo,1.092,82,281,Coding
