Name,Score,Start,End,
NC_054857.1_1017696_1017917_Aspergillus_puulaauensis,351,21,371
NC_054857.1_105292_105486_Aspergillus_puulaauensis,342,2,343
NC_054857.1_1060342_1059931_Aspergillus_puulaauensis,558,3,560
NC_054857.1_1086192_1086638_Aspergillus_puulaauensis,519,1,519
NC_054857.1_1087754_1087290_Aspergillus_puulaauensis,537,50,586
NC_054857.1_1116103_1116964_Aspergillus_puulaauensis,903,70,972
NC_054857.1_1149480_1149364_Aspergillus_puulaauensis,213,3,215
NC_054857.1_1237158_1236834_Aspergillus_puulaauensis,321,76,396
NC_054857.1_1268505_1268332_Aspergillus_puulaauensis,324,1,324
NC_054857.1_1291948_1291686_Aspergillus_puulaauensis,336,76,411
NC_054857.1_1312260_1312679_Aspergillus_puulaauensis,420,73,492
NC_054857.1_1376969_1377107_Aspergillus_puulaauensis,258,1,258
NC_054857.1_1420388_1420203_Aspergillus_puulaauensis,237,76,312
NC_054857.1_1422657_1422239_Aspergillus_puulaauensis,429,62,490
NC_054857.1_1444338_1444122_Aspergillus_puulaauensis,213,76,288
NC_054857.1_1469653_1469308_Aspergillus_puulaauensis,306,173,478
NC_054857.1_1490894_1490749_Aspergillus_puulaauensis,201,17,217
NC_054857.1_1493254_1493168_Aspergillus_puulaauensis,174,63,236
NC_054857.1_1512368_1512215_Aspergillus_puulaauensis,243,1,243
NC_054857.1_153440_154113_Aspergillus_puulaauensis,744,67,810
NC_054857.1_154473_154307_Aspergillus_puulaauensis,171,68,238
NC_054857.1_1574185_1575274_Aspergillus_puulaauensis,1086,77,1162
NC_054857.1_1594099_1594417_Aspergillus_puulaauensis,294,18,311
NC_054857.1_1595652_1596772_Aspergillus_puulaauensis,1122,72,1193
NC_054857.1_1638028_1637937_Aspergillus_puulaauensis,219,1,219
NC_054857.1_1681992_1682753_Aspergillus_puulaauensis,852,2,853
NC_054857.1_1693422_1693015_Aspergillus_puulaauensis,429,51,479
NC_054857.1_1704198_1704363_Aspergillus_puulaauensis,258,2,259
NC_054857.1_1704421_1705327_Aspergillus_puulaauensis,957,23,979
NC_054857.1_1710857_1710986_Aspergillus_puulaauensis,234,3,236
NC_054857.1_1712185_1712065_Aspergillus_puulaauensis,249,21,269
NC_054857.1_175766_176192_Aspergillus_puulaauensis,441,68,508
NC_054857.1_1824623_1824402_Aspergillus_puulaauensis,252,62,313
NC_054857.1_1825725_1825823_Aspergillus_puulaauensis,201,10,210
NC_054857.1_1857023_1857550_Aspergillus_puulaauensis,630,22,651
NC_054857.1_1875479_1875564_Aspergillus_puulaauensis,222,13,234
NC_054857.1_1879625_1879480_Aspergillus_puulaauensis,216,61,276
