Name,Score,Start,End,Label
NC_058368.1_100143404_100143247_Felis_catus,-0.936,none,none,Non-coding
NC_058368.1_100944920_100945064_Felis_catus,-1.61,none,none,Non-coding
NC_058368.1_10339999_10339865_Felis_catus,-0.83,none,none,Non-coding
NC_058368.1_108744_108897_Felis_catus,-0.992,none,none,Non-coding
NC_058368.1_11354751_11354850_Felis_catus,-0.212,none,none,Non-coding
NC_058368.1_113885875_113885734_Felis_catus,-1.747,none,none,Non-coding
NC_058368.1_114260154_114260058_Felis_catus,-0.766,none,none,Non-coding
NC_058368.1_114513551_114513398_Felis_catus,-1.339,none,none,Non-coding
NC_058368.1_114540234_114540317_Felis_catus,-0.377,none,none,Non-coding
NC_058368.1_1149651_1149772_Felis_catus,0.054,none,none,Coding
NC_058368.1_115036438_115036639_Felis_catus,-1.587,none,none,Non-coding
NC_058368.1_116262586_116262412_Felis_catus,-0.146,none,none,Non-coding
NC_058368.1_116549380_116549488_Felis_catus,0,none,none,Non-coding
NC_058368.1_121418686_121418547_Felis_catus,-1.413,none,none,Non-coding
NC_058368.1_122834981_122834852_Felis_catus,-1.494,none,none,Non-coding
NC_058368.1_123601720_123601852_Felis_catus,-0.18,none,none,Non-coding
NC_058368.1_127209649_127209560_Felis_catus,0,none,none,Non-coding
NC_058368.1_132522425_132522295_Felis_catus,-0.14,none,none,Non-coding
NC_058368.1_135820738_135820895_Felis_catus,-0.365,none,none,Non-coding
NC_058368.1_139073729_139073580_Felis_catus,-0.578,none,none,Non-coding
NC_058368.1_139486900_139486810_Felis_catus,-0.762,none,none,Non-coding
NC_058368.1_141985495_141985332_Felis_catus,-0.981,none,none,Non-coding
NC_058368.1_144199406_144199290_Felis_catus,-0.736,none,none,Non-coding
NC_058368.1_1476164_1476058_Felis_catus,-1.709,none,none,Non-coding
NC_058368.1_172162181_172162292_Felis_catus,-1.314,none,none,Non-coding
NC_058368.1_172841533_172841652_Felis_catus,-1.583,none,none,Non-coding
