Name,Score
NC_066857.1_10150200_10150119_Cucumis_melo,55
NC_066857.1_10185436_10185211_Cucumis_melo,50
NC_066857.1_1031973_1031838_Cucumis_melo,21
NC_066857.1_1046858_1046688_Cucumis_melo,2
NC_066857.1_1058868_1058588_Cucumis_melo,76
NC_066857.1_11401730_11401630_Cucumis_melo,29
NC_066857.1_11699537_11699322_Cucumis_melo,48
NC_066857.1_1188562_1189007_Cucumis_melo,15
NC_066857.1_13060604_13060704_Cucumis_melo,64
NC_066857.1_1330646_1330741_Cucumis_melo,8
NC_066857.1_1519602_1519505_Cucumis_melo,22
NC_066857.1_15305570_15305110_Cucumis_melo,30
NC_066857.1_15413202_15412541_Cucumis_melo,59
NC_066857.1_1619049_1618949_Cucumis_melo,44
NC_066857.1_1624634_1624534_Cucumis_melo,52
NC_066857.1_16321748_16321830_Cucumis_melo,12
NC_066857.1_16451381_16451266_Cucumis_melo,61
NC_066857.1_16597880_16597985_Cucumis_melo,8
NC_066857.1_16906070_16906463_Cucumis_melo,45
NC_066857.1_17217112_17216979_Cucumis_melo,88
NC_066857.1_17421844_17421982_Cucumis_melo,79
NC_066857.1_17441800_17441614_Cucumis_melo,81
NC_066857.1_1746074_1746167_Cucumis_melo,81
NC_066857.1_17552309_17551650_Cucumis_melo,80
NC_066857.1_17567408_17567294_Cucumis_melo,70
NC_066857.1_1864776_1864649_Cucumis_melo,24
NC_066857.1_1997165_1997066_Cucumis_melo,53
NC_066857.1_20708049_20707949_Cucumis_melo,54
NC_066857.1_2110250_2110078_Cucumis_melo,37
NC_066857.1_21308024_21307620_Cucumis_melo,65
NC_066857.1_22785337_22785513_Cucumis_melo,26
NC_066857.1_2280365_2280469_Cucumis_melo,15
NC_066857.1_2333573_2333728_Cucumis_melo,93
NC_066857.1_23377299_23377569_Cucumis_melo,68
NC_066857.1_25204442_25204559_Cucumis_melo,5
NC_066857.1_26252485_26252393_Cucumis_melo,40
NC_066857.1_27026603_27026687_Cucumis_melo,47
NC_066857.1_28952234_28952411_Cucumis_melo,32
NC_066857.1_29128090_29127889_Cucumis_melo,33
NC_066857.1_2914258_2914426_Cucumis_melo,35
NC_066857.1_30374414_30373299_Cucumis_melo,64
NC_066857.1_30431996_30432272_Cucumis_melo,64
NC_066857.1_307584_307766_Cucumis_melo,18
NC_066857.1_30803104_30803016_Cucumis_melo,72
NC_066857.1_3097522_3097423_Cucumis_melo,2
NC_066857.1_3102072_3101911_Cucumis_melo,94
NC_066857.1_31435156_31435033_Cucumis_melo,54
NC_066857.1_31835027_31834910_Cucumis_melo,69
NC_066857.1_31857979_31858065_Cucumis_melo,30
NC_066857.1_3186680_3187211_Cucumis_melo,24
NC_066857.1_32499935_32500387_Cucumis_melo,16
NC_066857.1_32712614_32712476_Cucumis_melo,33
NC_066857.1_32742241_32742364_Cucumis_melo,41
NC_066857.1_32873730_32873649_Cucumis_melo,60
NC_066857.1_3296212_3296410_Cucumis_melo,88
NC_066857.1_33200420_33200189_Cucumis_melo,47
NC_066857.1_33487543_33487713_Cucumis_melo,76
NC_066857.1_33503834_33503946_Cucumis_melo,67
NC_066857.1_33791747_33791663_Cucumis_melo,36
NC_066857.1_34037083_34036989_Cucumis_melo,97
NC_066857.1_34047793_34047686_Cucumis_melo,14
NC_066857.1_34119569_34119680_Cucumis_melo,27
NC_066857.1_34442833_34442593_Cucumis_melo,88
NC_066857.1_34759433_34759325_Cucumis_melo,69
NC_066857.1_34761952_34761869_Cucumis_melo,34
NC_066857.1_34787118_34787219_Cucumis_melo,61
NC_066857.1_34975853_34975679_Cucumis_melo,92
NC_066857.1_35161021_35160921_Cucumis_melo,48
NC_066857.1_35275055_35274962_Cucumis_melo,73
NC_066857.1_35486963_35487163_Cucumis_melo,20
NC_066857.1_35688539_35687997_Cucumis_melo,43
NC_066857.1_3591450_3591565_Cucumis_melo,20
NC_066857.1_36624687_36624843_Cucumis_melo,75
NC_066857.1_36746345_36746458_Cucumis_melo,38
NC_066857.1_36747366_36747559_Cucumis_melo,99
NC_066857.1_36803632_36803776_Cucumis_melo,67
NC_066857.1_36841918_36842156_Cucumis_melo,44
NC_066857.1_37033500_37033231_Cucumis_melo,95
NC_066857.1_37180275_37180395_Cucumis_melo,32
NC_066857.1_37368414_37368273_Cucumis_melo,81
NC_066857.1_37409909_37409819_Cucumis_melo,79
NC_066857.1_37530596_37530510_Cucumis_melo,48
NC_066857.1_37600016_37600130_Cucumis_melo,41
NC_066857.1_37600282_37600888_Cucumis_melo,84
NC_066857.1_37654047_37653915_Cucumis_melo,35
NC_066857.1_37657131_37656339_Cucumis_melo,91
NC_066857.1_37703180_37703363_Cucumis_melo,48
NC_066857.1_37860920_37860721_Cucumis_melo,5
NC_066857.1_37895762_37895889_Cucumis_melo,91
NC_066857.1_38043589_38043488_Cucumis_melo,37
NC_066857.1_412289_412169_Cucumis_melo,21
NC_066857.1_619755_619659_Cucumis_melo,27
NC_066857.1_6898528_6898420_Cucumis_melo,52
NC_066857.1_705171_705726_Cucumis_melo,33
NC_066857.1_766827_766551_Cucumis_melo,22
NC_066857.1_7975963_7976105_Cucumis_melo,59
NC_066857.1_849314_849395_Cucumis_melo,24
NC_066857.1_868000_868081_Cucumis_melo,89
NC_066857.1_9437883_9438093_Cucumis_melo,53
NC_066857.1_962533_962323_Cucumis_melo,33
NC_066857.1_9729347_9729433_Cucumis_melo,18
NC_066858.1_10051535_10051285_Cucumis_melo,88
NC_066858.1_1008452_1008574_Cucumis_melo,71
NC_066858.1_105452_105671_Cucumis_melo,1
NC_066858.1_11527378_11527469_Cucumis_melo,42
NC_066858.1_1163254_1163350_Cucumis_melo,59
NC_066858.1_11878761_11878572_Cucumis_melo,87
NC_066858.1_11898567_11898672_Cucumis_melo,4
NC_066858.1_11936281_11936077_Cucumis_melo,83
NC_066858.1_1293476_1293371_Cucumis_melo,35
NC_066858.1_1310652_1310801_Cucumis_melo,91
NC_066858.1_13343740_13343634_Cucumis_melo,29
NC_066858.1_13585684_13585419_Cucumis_melo,30
NC_066858.1_13587818_13587713_Cucumis_melo,84
NC_066858.1_13937133_13936731_Cucumis_melo,51
NC_066858.1_13972228_13972783_Cucumis_melo,60
NC_066858.1_14491139_14491456_Cucumis_melo,21
NC_066858.1_14814039_14814244_Cucumis_melo,9
NC_066858.1_15081683_15081526_Cucumis_melo,14
NC_066858.1_15178087_15177582_Cucumis_melo,34
NC_066858.1_162480_162579_Cucumis_melo,27
NC_066858.1_1665370_1665529_Cucumis_melo,15
NC_066858.1_1691446_1691532_Cucumis_melo,4
NC_066858.1_17114086_17114208_Cucumis_melo,10
NC_066858.1_17199970_17199751_Cucumis_melo,97
NC_066858.1_17263152_17263582_Cucumis_melo,87
NC_066858.1_1737426_1737548_Cucumis_melo,82
NC_066858.1_1851849_1851965_Cucumis_melo,23
NC_066858.1_19015050_19015185_Cucumis_melo,75
NC_066858.1_19079569_19079990_Cucumis_melo,80
NC_066858.1_19080092_19080775_Cucumis_melo,61
NC_066858.1_19194719_19194471_Cucumis_melo,12
NC_066858.1_1981403_1981261_Cucumis_melo,97
NC_066858.1_2020482_2020047_Cucumis_melo,92
NC_066858.1_20645233_20644861_Cucumis_melo,81
NC_066858.1_2102885_2102985_Cucumis_melo,97
NC_066858.1_2106042_2105351_Cucumis_melo,5
NC_066858.1_21561348_21560601_Cucumis_melo,33
NC_066858.1_21648108_21648370_Cucumis_melo,25
NC_066858.1_22033165_22033313_Cucumis_melo,53
NC_066858.1_22137045_22136947_Cucumis_melo,4
NC_066858.1_22345475_22345602_Cucumis_melo,44
NC_066858.1_22575095_22574973_Cucumis_melo,89
NC_066858.1_229765_229601_Cucumis_melo,29
NC_066858.1_23549004_23548266_Cucumis_melo,62
NC_066858.1_23554077_23554203_Cucumis_melo,30
NC_066858.1_23668236_23668048_Cucumis_melo,53
NC_066858.1_23876831_23876324_Cucumis_melo,38
NC_066858.1_23981922_23981833_Cucumis_melo,52
NC_066858.1_24230416_24229521_Cucumis_melo,7
NC_066858.1_24236266_24236133_Cucumis_melo,14
NC_066858.1_24347644_24348145_Cucumis_melo,47
NC_066858.1_24403490_24403826_Cucumis_melo,78
NC_066858.1_2452785_2452890_Cucumis_melo,8
NC_066858.1_24920998_24920916_Cucumis_melo,49
NC_066858.1_25130003_25130146_Cucumis_melo,46
NC_066858.1_25393273_25393090_Cucumis_melo,92
NC_066858.1_25487001_25486815_Cucumis_melo,51
NC_066858.1_25601641_25601269_Cucumis_melo,64
NC_066858.1_25614664_25614799_Cucumis_melo,15
NC_066858.1_25629437_25629122_Cucumis_melo,2
NC_066858.1_25691650_25691542_Cucumis_melo,82
NC_066858.1_25738125_25738043_Cucumis_melo,47
NC_066858.1_25754406_25754198_Cucumis_melo,71
NC_066858.1_25795550_25795848_Cucumis_melo,4
NC_066858.1_26003271_26003435_Cucumis_melo,18
NC_066858.1_26160882_26161068_Cucumis_melo,43
NC_066858.1_2842933_2842740_Cucumis_melo,76
NC_066858.1_3170850_3171101_Cucumis_melo,13
NC_066858.1_3209327_3209515_Cucumis_melo,1
NC_066858.1_4292571_4292454_Cucumis_melo,29
NC_066858.1_5221045_5221127_Cucumis_melo,55
NC_066858.1_6623767_6623674_Cucumis_melo,91
NC_066858.1_7021138_7020761_Cucumis_melo,8
NC_066858.1_7825044_7825159_Cucumis_melo,77
NC_066858.1_7919889_7919998_Cucumis_melo,84
NC_066858.1_834512_835181_Cucumis_melo,33
NC_066858.1_885561_884694_Cucumis_melo,26
NC_066858.1_931188_931330_Cucumis_melo,84
NC_066858.1_9837735_9837954_Cucumis_melo,30
NC_066859.1_12981162_12981415_Cucumis_melo,15
NC_066859.1_1339814_1339685_Cucumis_melo,20
NC_066859.1_14801442_14801903_Cucumis_melo,60
NC_066859.1_17689926_17690011_Cucumis_melo,97
NC_066859.1_17747060_17747353_Cucumis_melo,77
NC_066859.1_1907693_1907849_Cucumis_melo,57
NC_066859.1_1921438_1921861_Cucumis_melo,70
NC_066859.1_1973489_1973365_Cucumis_melo,4
NC_066859.1_20444867_20444705_Cucumis_melo,74
NC_066859.1_21526656_21526740_Cucumis_melo,77
NC_066859.1_21876360_21876570_Cucumis_melo,91
NC_066859.1_22630173_22630258_Cucumis_melo,46
NC_066859.1_23623046_23623164_Cucumis_melo,87
NC_066859.1_23863069_23862414_Cucumis_melo,38
NC_066859.1_24147605_24147773_Cucumis_melo,84
NC_066859.1_2431320_2431230_Cucumis_melo,61
NC_066859.1_24995669_24995397_Cucumis_melo,50
NC_066859.1_25155847_25156076_Cucumis_melo,78
NC_066859.1_25215761_25215655_Cucumis_melo,25
NC_066859.1_25225644_25225857_Cucumis_melo,98
NC_066859.1_25245297_25245387_Cucumis_melo,49
NC_066859.1_25295289_25295520_Cucumis_melo,94
NC_066859.1_25322141_25322034_Cucumis_melo,62
NC_066859.1_25392891_25392621_Cucumis_melo,34
NC_066859.1_25675436_25675617_Cucumis_melo,23
NC_066859.1_25726130_25726332_Cucumis_melo,79
NC_066859.1_26336941_26336534_Cucumis_melo,94
NC_066859.1_26460431_26460340_Cucumis_melo,65
NC_066859.1_26713402_26714068_Cucumis_melo,79
NC_066859.1_26757278_26756894_Cucumis_melo,15
NC_066859.1_26984136_26984019_Cucumis_melo,35
NC_066859.1_27295447_27295589_Cucumis_melo,42
NC_066859.1_27801107_27801213_Cucumis_melo,46
NC_066859.1_27865799_27865707_Cucumis_melo,48
NC_066859.1_28150038_28150236_Cucumis_melo,25
NC_066859.1_28195561_28196027_Cucumis_melo,50
NC_066859.1_28304321_28304150_Cucumis_melo,72
NC_066859.1_28491681_28491770_Cucumis_melo,44
NC_066859.1_28670913_28670825_Cucumis_melo,15
NC_066859.1_28909699_28910094_Cucumis_melo,54
NC_066859.1_28927288_28927411_Cucumis_melo,5
NC_066859.1_29091823_29091712_Cucumis_melo,15
NC_066859.1_29195777_29195563_Cucumis_melo,61
NC_066859.1_29292708_29293462_Cucumis_melo,11
NC_066859.1_29680204_29679906_Cucumis_melo,30
NC_066859.1_29755824_29756328_Cucumis_melo,78
NC_066859.1_29811535_29811407_Cucumis_melo,100
NC_066859.1_30199164_30199068_Cucumis_melo,85
NC_066859.1_30304556_30304643_Cucumis_melo,39
NC_066859.1_30321755_30322142_Cucumis_melo,55
NC_066859.1_30483707_30483600_Cucumis_melo,71
NC_066859.1_30732911_30733018_Cucumis_melo,1
NC_066859.1_30739541_30739381_Cucumis_melo,66
NC_066859.1_30853640_30853819_Cucumis_melo,47
NC_066859.1_30860202_30860338_Cucumis_melo,45
NC_066859.1_461030_461180_Cucumis_melo,35
NC_066859.1_6141893_6141987_Cucumis_melo,9
NC_066859.1_8294785_8294568_Cucumis_melo,6
NC_066859.1_8940244_8940131_Cucumis_melo,24
NC_066859.1_9857881_9858064_Cucumis_melo,46
NC_066860.1_10205416_10205509_Cucumis_melo,44
NC_066860.1_1131575_1131461_Cucumis_melo,27
NC_066860.1_1246316_1246451_Cucumis_melo,62
NC_066860.1_14576321_14576439_Cucumis_melo,60
NC_066860.1_14610627_14610414_Cucumis_melo,15
NC_066860.1_14823941_14823796_Cucumis_melo,96
NC_066860.1_14853282_14853601_Cucumis_melo,12
NC_066860.1_15119532_15119653_Cucumis_melo,23
NC_066860.1_1549281_1549369_Cucumis_melo,91
NC_066860.1_16164179_16164097_Cucumis_melo,15
NC_066860.1_16300990_16301139_Cucumis_melo,30
NC_066860.1_16446906_16446815_Cucumis_melo,71
NC_066860.1_16745875_16745329_Cucumis_melo,51
NC_066860.1_16754586_16755023_Cucumis_melo,33
NC_066860.1_16849246_16849549_Cucumis_melo,39
NC_066860.1_1866698_1866869_Cucumis_melo,69
NC_066860.1_20468752_20468844_Cucumis_melo,61
NC_066860.1_20863704_20863858_Cucumis_melo,10
NC_066860.1_20864112_20864238_Cucumis_melo,2
NC_066860.1_21129970_21130141_Cucumis_melo,29
NC_066860.1_21522020_21522124_Cucumis_melo,25
NC_066860.1_21646642_21646557_Cucumis_melo,75
NC_066860.1_2180362_2180647_Cucumis_melo,99
NC_066860.1_2196342_2196228_Cucumis_melo,5
NC_066860.1_22006241_22006362_Cucumis_melo,76
NC_066860.1_2234500_2234372_Cucumis_melo,94
NC_066860.1_24385533_24386402_Cucumis_melo,62
NC_066860.1_2442124_2441983_Cucumis_melo,49
NC_066860.1_24550866_24551126_Cucumis_melo,72
NC_066860.1_2464894_2465019_Cucumis_melo,67
NC_066860.1_2499234_2499453_Cucumis_melo,14
NC_066860.1_25209204_25209323_Cucumis_melo,76
NC_066860.1_26554442_26554279_Cucumis_melo,27
NC_066860.1_27337020_27336797_Cucumis_melo,49
NC_066860.1_2747657_2747545_Cucumis_melo,22
NC_066860.1_28218077_28217956_Cucumis_melo,77
NC_066860.1_28744174_28744265_Cucumis_melo,69
NC_066860.1_28751789_28751639_Cucumis_melo,89
NC_066860.1_28947322_28947223_Cucumis_melo,35
NC_066860.1_28950489_28950380_Cucumis_melo,69
NC_066860.1_28951806_28951700_Cucumis_melo,25
NC_066860.1_28970275_28970172_Cucumis_melo,53
NC_066860.1_29350410_29350746_Cucumis_melo,50
NC_066860.1_29377379_29377100_Cucumis_melo,31
NC_066860.1_29553587_29553477_Cucumis_melo,61
NC_066860.1_29869304_29869392_Cucumis_melo,61
NC_066860.1_29930008_29930172_Cucumis_melo,42
NC_066860.1_29945182_29945098_Cucumis_melo,43
NC_066860.1_30125093_30125343_Cucumis_melo,3
NC_066860.1_30149316_30149118_Cucumis_melo,21
NC_066860.1_30281884_30282514_Cucumis_melo,86
NC_066860.1_3033397_3033497_Cucumis_melo,80
NC_066860.1_3041480_3041642_Cucumis_melo,13
NC_066860.1_30455495_30455402_Cucumis_melo,9
NC_066860.1_30554004_30554196_Cucumis_melo,57
NC_066860.1_30575059_30575201_Cucumis_melo,40
NC_066860.1_30602796_30602346_Cucumis_melo,92
NC_066860.1_30620626_30620469_Cucumis_melo,6
NC_066860.1_3069323_3069673_Cucumis_melo,6
NC_066860.1_30767774_30767614_Cucumis_melo,28
NC_066860.1_31462050_31461742_Cucumis_melo,34
NC_066860.1_31652039_31651924_Cucumis_melo,13
NC_066860.1_31778830_31778688_Cucumis_melo,1
NC_066860.1_31885383_31885223_Cucumis_melo,50
NC_066860.1_31888328_31888428_Cucumis_melo,86
NC_066860.1_31893630_31893845_Cucumis_melo,56
NC_066860.1_32066358_32066129_Cucumis_melo,63
NC_066860.1_32257915_32257802_Cucumis_melo,26
NC_066860.1_32300085_32299998_Cucumis_melo,70
NC_066860.1_32393868_32393650_Cucumis_melo,53
NC_066860.1_32611438_32611537_Cucumis_melo,41
NC_066860.1_3295847_3296114_Cucumis_melo,57
NC_066860.1_33008819_33008046_Cucumis_melo,12
NC_066860.1_33082293_33082203_Cucumis_melo,88
NC_066860.1_33128628_33128343_Cucumis_melo,70
NC_066860.1_33140020_33139924_Cucumis_melo,69
NC_066860.1_33176407_33176306_Cucumis_melo,50
NC_066860.1_33345184_33344647_Cucumis_melo,22
NC_066860.1_33412163_33412329_Cucumis_melo,30
