Name,Score,Start,End,Label
NC_066857.1_10150200_10150119_Cucumis_melo,-0.37,none,none,Non-coding
NC_066857.1_10185436_10185211_Cucumis_melo,-1.755,none,none,Non-coding
NC_066857.1_1031973_1031838_Cucumis_melo,-0.444,none,none,Non-coding
NC_066857.1_1046858_1046688_Cucumis_melo,-0.532,none,none,Non-coding
NC_066857.1_1058868_1058588_Cucumis_melo,-1.784,none,none,Non-coding
NC_066857.1_11401730_11401630_Cucumis_melo,-0.96,none,none,Non-coding
NC_066857.1_11699537_11699322_Cucumis_melo,0.734,none,none,Coding
NC_066857.1_1188562_1189007_Cucumis_melo,0.206,none,none,Coding
NC_066857.1_13060604_13060704_Cucumis_melo,-0.768,none,none,Non-coding
NC_066857.1_1330646_1330741_Cucumis_melo,-1.571,none,none,Non-coding
NC_066857.1_1519602_1519505_Cucumis_melo,0.735,none,none,Coding
NC_066857.1_15305570_15305110_Cucumis_melo,0.316,none,none,Coding
NC_066857.1_15413202_15412541_Cucumis_melo,-1.112,none,none,Non-coding
NC_066857.1_1619049_1618949_Cucumis_melo,-1.404,none,none,Non-coding
NC_066857.1_1624634_1624534_Cucumis_melo,-1.234,none,none,Non-coding
NC_066857.1_16321748_16321830_Cucumis_melo,-0.368,none,none,Non-coding
NC_066857.1_16451381_16451266_Cucumis_melo,-0.699,none,none,Non-coding
NC_066857.1_16597880_16597985_Cucumis_melo,-0.585,none,none,Non-coding
NC_066857.1_16906070_16906463_Cucumis_melo,-0.215,none,none,Non-coding
NC_066857.1_17217112_17216979_Cucumis_melo,-0.74,none,none,Non-coding
NC_066857.1_17421844_17421982_Cucumis_melo,-0.221,none,none,Non-coding
NC_066857.1_17441800_17441614_Cucumis_melo,-0.291,none,none,Non-coding
NC_066857.1_1746074_1746167_Cucumis_melo,-0.441,none,none,Non-coding
NC_066857.1_17552309_17551650_Cucumis_melo,0.678,none,none,Coding
NC_066857.1_17567408_17567294_Cucumis_melo,-0.298,none,none,Non-coding
NC_066857.1_1864776_1864649_Cucumis_melo,-1.005,none,none,Non-coding
NC_066857.1_1997165_1997066_Cucumis_melo,-0.794,none,none,Non-coding
NC_066857.1_20708049_20707949_Cucumis_melo,-1.883,none,none,Non-coding
NC_066857.1_2110250_2110078_Cucumis_melo,-0.525,none,none,Non-coding
NC_066857.1_21308024_21307620_Cucumis_melo,-0.508,none,none,Non-coding
NC_066857.1_22785337_22785513_Cucumis_melo,-1.17,none,none,Non-coding
NC_066857.1_2280365_2280469_Cucumis_melo,-1.322,none,none,Non-coding
NC_066857.1_2333573_2333728_Cucumis_melo,-1.577,none,none,Non-coding
NC_066857.1_23377299_23377569_Cucumis_melo,-0.51,none,none,Non-coding
NC_066857.1_25204442_25204559_Cucumis_melo,-1.56,none,none,Non-coding
NC_066857.1_26252485_26252393_Cucumis_melo,-1.003,none,none,Non-coding
NC_066857.1_27026603_27026687_Cucumis_melo,-0.858,none,none,Non-coding
NC_066857.1_28952234_28952411_Cucumis_melo,-1.456,none,none,Non-coding
NC_066857.1_29128090_29127889_Cucumis_melo,-0.255,none,none,Non-coding
NC_066857.1_2914258_2914426_Cucumis_melo,-1.476,none,none,Non-coding
NC_066857.1_30374414_30373299_Cucumis_melo,2.009,none,none,Coding
NC_066857.1_30431996_30432272_Cucumis_melo,-0.007,none,none,Non-coding
NC_066857.1_307584_307766_Cucumis_melo,0.341,none,none,Coding
NC_066857.1_30803104_30803016_Cucumis_melo,-0.917,none,none,Non-coding
NC_066857.1_3097522_3097423_Cucumis_melo,-1.186,none,none,Non-coding
NC_066857.1_3102072_3101911_Cucumis_melo,-0.993,none,none,Non-coding
NC_066857.1_31435156_31435033_Cucumis_melo,-0.664,none,none,Non-coding
NC_066857.1_31835027_31834910_Cucumis_melo,-0.311,none,none,Non-coding
NC_066857.1_31857979_31858065_Cucumis_melo,-1.989,none,none,Non-coding
NC_066857.1_3186680_3187211_Cucumis_melo,-0.239,none,none,Non-coding
NC_066857.1_32499935_32500387_Cucumis_melo,-0.514,none,none,Non-coding
NC_066857.1_32712614_32712476_Cucumis_melo,-1.031,none,none,Non-coding
NC_066857.1_32742241_32742364_Cucumis_melo,-1.142,none,none,Non-coding
NC_066857.1_32873730_32873649_Cucumis_melo,0.339,none,none,Coding
NC_066857.1_3296212_3296410_Cucumis_melo,-0.965,none,none,Non-coding
NC_066857.1_33200420_33200189_Cucumis_melo,-1.18,none,none,Non-coding
NC_066857.1_33487543_33487713_Cucumis_melo,2.951,none,none,Non-coding
NC_066857.1_33503834_33503946_Cucumis_melo,-0.279,none,none,Non-coding
NC_066857.1_33791747_33791663_Cucumis_melo,-1.126,none,none,Non-coding
NC_066857.1_34037083_34036989_Cucumis_melo,-0.544,none,none,Non-coding
NC_066857.1_34047793_34047686_Cucumis_melo,-1.23,none,none,Non-coding
NC_066857.1_34119569_34119680_Cucumis_melo,-0.015,none,none,Non-coding
NC_066857.1_34442833_34442593_Cucumis_melo,-0.839,none,none,Non-coding
NC_066857.1_34759433_34759325_Cucumis_melo,-0.412,none,none,Non-coding
NC_066857.1_34761952_34761869_Cucumis_melo,-0.907,none,none,Non-coding
NC_066857.1_34787118_34787219_Cucumis_melo,0.854,none,none,Non-coding
NC_066857.1_34975853_34975679_Cucumis_melo,-1.535,none,none,Non-coding
NC_066857.1_35161021_35160921_Cucumis_melo,-0.5,none,none,Non-coding
NC_066857.1_35275055_35274962_Cucumis_melo,0.141,none,none,Non-coding
NC_066857.1_35486963_35487163_Cucumis_melo,0.435,none,none,Non-coding
NC_066857.1_35688539_35687997_Cucumis_melo,-1.248,none,none,Non-coding
NC_066857.1_3591450_3591565_Cucumis_melo,-0.414,none,none,Non-coding
NC_066857.1_36624687_36624843_Cucumis_melo,-0.766,none,none,Non-coding
NC_066857.1_36746345_36746458_Cucumis_melo,-1.445,none,none,Non-coding
NC_066857.1_36747366_36747559_Cucumis_melo,-0.523,none,none,Non-coding
NC_066857.1_36803632_36803776_Cucumis_melo,-0.108,none,none,Non-coding
NC_066857.1_36841918_36842156_Cucumis_melo,-0.666,none,none,Non-coding
NC_066857.1_37033500_37033231_Cucumis_melo,-0.865,none,none,Non-coding
NC_066857.1_37180275_37180395_Cucumis_melo,-1.336,none,none,Non-coding
NC_066857.1_37368414_37368273_Cucumis_melo,-1.057,none,none,Non-coding
NC_066857.1_37409909_37409819_Cucumis_melo,-0.651,none,none,Non-coding
NC_066857.1_37530596_37530510_Cucumis_melo,-1.362,none,none,Non-coding
NC_066857.1_37600016_37600130_Cucumis_melo,-1.685,none,none,Non-coding
NC_066857.1_37600282_37600888_Cucumis_melo,0.351,none,none,Coding
NC_066857.1_37654047_37653915_Cucumis_melo,-1.013,none,none,Non-coding
NC_066857.1_37657131_37656339_Cucumis_melo,0.494,none,none,Coding
NC_066857.1_37703180_37703363_Cucumis_melo,-1.448,none,none,Non-coding
NC_066857.1_37860920_37860721_Cucumis_melo,-1.751,none,none,Non-coding
NC_066857.1_37895762_37895889_Cucumis_melo,1.277,none,none,Coding
NC_066857.1_38043589_38043488_Cucumis_melo,-1.009,none,none,Non-coding
NC_066857.1_412289_412169_Cucumis_melo,-0.315,none,none,Non-coding
NC_066857.1_619755_619659_Cucumis_melo,-0.217,none,none,Non-coding
NC_066857.1_6898528_6898420_Cucumis_melo,-1.075,none,none,Non-coding
NC_066857.1_705171_705726_Cucumis_melo,0.073,none,none,Coding
NC_066857.1_766827_766551_Cucumis_melo,-1.395,none,none,Non-coding
NC_066857.1_7975963_7976105_Cucumis_melo,0,none,none,Non-coding
NC_066857.1_849314_849395_Cucumis_melo,-0.247,none,none,Non-coding
NC_066857.1_868000_868081_Cucumis_melo,-0.268,none,none,Non-coding
NC_066857.1_9437883_9438093_Cucumis_melo,-1.11,none,none,Non-coding
NC_066857.1_962533_962323_Cucumis_melo,-1.764,none,none,Non-coding
NC_066857.1_9729347_9729433_Cucumis_melo,-1.829,none,none,Non-coding
NC_066858.1_10051535_10051285_Cucumis_melo,-1.025,none,none,Non-coding
NC_066858.1_1008452_1008574_Cucumis_melo,-0.92,none,none,Non-coding
NC_066858.1_105452_105671_Cucumis_melo,-0.989,none,none,Non-coding
NC_066858.1_11527378_11527469_Cucumis_melo,-0.859,none,none,Non-coding
NC_066858.1_1163254_1163350_Cucumis_melo,-0.823,none,none,Non-coding
NC_066858.1_11878761_11878572_Cucumis_melo,-0.793,none,none,Non-coding
NC_066858.1_11898567_11898672_Cucumis_melo,-0.81,none,none,Non-coding
NC_066858.1_11936281_11936077_Cucumis_melo,-0.575,none,none,Non-coding
NC_066858.1_1293476_1293371_Cucumis_melo,-3,none,none,Non-coding
NC_066858.1_1310652_1310801_Cucumis_melo,-1.511,none,none,Non-coding
NC_066858.1_13343740_13343634_Cucumis_melo,-0.294,none,none,Non-coding
NC_066858.1_13585684_13585419_Cucumis_melo,-0.437,none,none,Non-coding
NC_066858.1_13587818_13587713_Cucumis_melo,-1.172,none,none,Non-coding
NC_066858.1_13937133_13936731_Cucumis_melo,-0.439,none,none,Non-coding
NC_066858.1_13972228_13972783_Cucumis_melo,-0.001,none,none,Non-coding
NC_066858.1_14491139_14491456_Cucumis_melo,-1.03,none,none,Non-coding
NC_066858.1_14814039_14814244_Cucumis_melo,-1.139,none,none,Non-coding
NC_066858.1_15081683_15081526_Cucumis_melo,0,none,none,Non-coding
NC_066858.1_15178087_15177582_Cucumis_melo,-0.736,none,none,Non-coding
NC_066858.1_162480_162579_Cucumis_melo,-0.565,none,none,Non-coding
NC_066858.1_1665370_1665529_Cucumis_melo,-0.587,none,none,Non-coding
NC_066858.1_1691446_1691532_Cucumis_melo,-0.161,none,none,Non-coding
NC_066858.1_17114086_17114208_Cucumis_melo,-0.782,none,none,Non-coding
NC_066858.1_17199970_17199751_Cucumis_melo,-0.422,none,none,Non-coding
NC_066858.1_17263152_17263582_Cucumis_melo,-0.081,none,none,Non-coding
NC_066858.1_1737426_1737548_Cucumis_melo,-0.229,none,none,Non-coding
NC_066858.1_1851849_1851965_Cucumis_melo,-0.599,none,none,Non-coding
NC_066858.1_19015050_19015185_Cucumis_melo,-0.648,none,none,Non-coding
NC_066858.1_19079569_19079990_Cucumis_melo,-0.253,none,none,Non-coding
NC_066858.1_19080092_19080775_Cucumis_melo,0.504,none,none,Coding
NC_066858.1_19194719_19194471_Cucumis_melo,0.276,none,none,Non-coding
NC_066858.1_1981403_1981261_Cucumis_melo,-3,none,none,Non-coding
NC_066858.1_2020482_2020047_Cucumis_melo,-0.123,none,none,Non-coding
NC_066858.1_20645233_20644861_Cucumis_melo,-1.023,none,none,Non-coding
NC_066858.1_2102885_2102985_Cucumis_melo,-1.781,none,none,Non-coding
NC_066858.1_2106042_2105351_Cucumis_melo,0.333,none,none,Coding
NC_066858.1_21561348_21560601_Cucumis_melo,0.086,none,none,Coding
NC_066858.1_21648108_21648370_Cucumis_melo,-0.554,none,none,Non-coding
NC_066858.1_22033165_22033313_Cucumis_melo,-0.701,none,none,Non-coding
NC_066858.1_22137045_22136947_Cucumis_melo,-0.788,none,none,Non-coding
NC_066858.1_22345475_22345602_Cucumis_melo,0,none,none,Non-coding
NC_066858.1_22575095_22574973_Cucumis_melo,0,none,none,Non-coding
NC_066858.1_229765_229601_Cucumis_melo,-0.261,none,none,Non-coding
NC_066858.1_23549004_23548266_Cucumis_melo,0.968,none,none,Coding
NC_066858.1_23554077_23554203_Cucumis_melo,0.101,none,none,Coding
NC_066858.1_23668236_23668048_Cucumis_melo,-0.643,none,none,Non-coding
NC_066858.1_23876831_23876324_Cucumis_melo,-0.264,none,none,Non-coding
NC_066858.1_23981922_23981833_Cucumis_melo,-1.041,none,none,Non-coding
NC_066858.1_24230416_24229521_Cucumis_melo,-0.806,none,none,Non-coding
NC_066858.1_24236266_24236133_Cucumis_melo,2.525,none,none,Coding
NC_066858.1_24347644_24348145_Cucumis_melo,-0.254,none,none,Non-coding
NC_066858.1_24403490_24403826_Cucumis_melo,0.042,none,none,Coding
NC_066858.1_2452785_2452890_Cucumis_melo,-1.262,none,none,Non-coding
NC_066858.1_24920998_24920916_Cucumis_melo,-0.808,none,none,Non-coding
NC_066858.1_25130003_25130146_Cucumis_melo,-1.21,none,none,Non-coding
NC_066858.1_25393273_25393090_Cucumis_melo,-0.934,none,none,Non-coding
NC_066858.1_25487001_25486815_Cucumis_melo,-0.511,none,none,Non-coding
NC_066858.1_25601641_25601269_Cucumis_melo,-0.941,none,none,Non-coding
NC_066858.1_25614664_25614799_Cucumis_melo,-1.072,none,none,Non-coding
NC_066858.1_25629437_25629122_Cucumis_melo,0.318,none,none,Coding
NC_066858.1_25691650_25691542_Cucumis_melo,-1.417,none,none,Non-coding
NC_066858.1_25738125_25738043_Cucumis_melo,-0.19,none,none,Non-coding
NC_066858.1_25754406_25754198_Cucumis_melo,0,none,none,Non-coding
NC_066858.1_25795550_25795848_Cucumis_melo,-1.251,none,none,Non-coding
NC_066858.1_26003271_26003435_Cucumis_melo,-1.318,none,none,Non-coding
NC_066858.1_26160882_26161068_Cucumis_melo,-1.477,none,none,Non-coding
NC_066858.1_2842933_2842740_Cucumis_melo,-0.246,none,none,Non-coding
NC_066858.1_3170850_3171101_Cucumis_melo,-0.836,none,none,Non-coding
NC_066858.1_3209327_3209515_Cucumis_melo,-1.324,none,none,Non-coding
NC_066858.1_4292571_4292454_Cucumis_melo,-1.675,none,none,Non-coding
NC_066858.1_5221045_5221127_Cucumis_melo,-0.442,none,none,Non-coding
NC_066858.1_6623767_6623674_Cucumis_melo,-1.203,none,none,Non-coding
NC_066858.1_7021138_7020761_Cucumis_melo,-0.092,none,none,Non-coding
NC_066858.1_7825044_7825159_Cucumis_melo,2.246,none,none,Coding
NC_066858.1_7919889_7919998_Cucumis_melo,-0.917,none,none,Non-coding
NC_066858.1_834512_835181_Cucumis_melo,-0.22,none,none,Non-coding
NC_066858.1_885561_884694_Cucumis_melo,1.755,none,none,Coding
NC_066858.1_931188_931330_Cucumis_melo,-0.608,none,none,Non-coding
NC_066858.1_9837735_9837954_Cucumis_melo,-1.079,none,none,Non-coding
NC_066859.1_12981162_12981415_Cucumis_melo,-1.248,none,none,Non-coding
NC_066859.1_1339814_1339685_Cucumis_melo,-0.436,none,none,Non-coding
NC_066859.1_14801442_14801903_Cucumis_melo,0.052,none,none,Coding
NC_066859.1_17689926_17690011_Cucumis_melo,-1.383,none,none,Non-coding
NC_066859.1_17747060_17747353_Cucumis_melo,-0.766,none,none,Non-coding
NC_066859.1_1907693_1907849_Cucumis_melo,-1.991,none,none,Non-coding
NC_066859.1_1921438_1921861_Cucumis_melo,-0.729,none,none,Non-coding
NC_066859.1_1973489_1973365_Cucumis_melo,1.464,none,none,Non-coding
NC_066859.1_20444867_20444705_Cucumis_melo,-0.539,none,none,Non-coding
NC_066859.1_21526656_21526740_Cucumis_melo,-1.324,none,none,Non-coding
NC_066859.1_21876360_21876570_Cucumis_melo,-1.119,none,none,Non-coding
NC_066859.1_22630173_22630258_Cucumis_melo,-1.107,none,none,Non-coding
NC_066859.1_23623046_23623164_Cucumis_melo,-0.803,none,none,Non-coding
NC_066859.1_23863069_23862414_Cucumis_melo,0.008,none,none,Coding
NC_066859.1_24147605_24147773_Cucumis_melo,-0.985,none,none,Non-coding
NC_066859.1_2431320_2431230_Cucumis_melo,-1.404,none,none,Non-coding
NC_066859.1_24995669_24995397_Cucumis_melo,-1.119,none,none,Non-coding
NC_066859.1_25155847_25156076_Cucumis_melo,-0.885,none,none,Non-coding
NC_066859.1_25215761_25215655_Cucumis_melo,-0.4,none,none,Non-coding
NC_066859.1_25225644_25225857_Cucumis_melo,-1.339,none,none,Non-coding
NC_066859.1_25245297_25245387_Cucumis_melo,-1.166,none,none,Non-coding
NC_066859.1_25295289_25295520_Cucumis_melo,-0.457,none,none,Non-coding
NC_066859.1_25322141_25322034_Cucumis_melo,0,none,none,Non-coding
NC_066859.1_25392891_25392621_Cucumis_melo,-1.815,none,none,Non-coding
NC_066859.1_25675436_25675617_Cucumis_melo,-0.624,none,none,Non-coding
NC_066859.1_25726130_25726332_Cucumis_melo,0.474,none,none,Coding
NC_066859.1_26336941_26336534_Cucumis_melo,-0.396,none,none,Non-coding
NC_066859.1_26460431_26460340_Cucumis_melo,-0.977,none,none,Non-coding
NC_066859.1_26713402_26714068_Cucumis_melo,-0.28,none,none,Non-coding
NC_066859.1_26757278_26756894_Cucumis_melo,-0.043,none,none,Non-coding
NC_066859.1_26984136_26984019_Cucumis_melo,-1.372,none,none,Non-coding
NC_066859.1_27295447_27295589_Cucumis_melo,-0.735,none,none,Non-coding
NC_066859.1_27801107_27801213_Cucumis_melo,0.57,none,none,Non-coding
NC_066859.1_27865799_27865707_Cucumis_melo,-0.569,none,none,Non-coding
NC_066859.1_28150038_28150236_Cucumis_melo,-0.98,none,none,Non-coding
NC_066859.1_28195561_28196027_Cucumis_melo,-0.148,none,none,Non-coding
NC_066859.1_28304321_28304150_Cucumis_melo,-1.321,none,none,Non-coding
NC_066859.1_28491681_28491770_Cucumis_melo,-0.826,none,none,Non-coding
NC_066859.1_28670913_28670825_Cucumis_melo,-0.965,none,none,Non-coding
NC_066859.1_28909699_28910094_Cucumis_melo,-0.082,none,none,Non-coding
NC_066859.1_28927288_28927411_Cucumis_melo,-1.358,none,none,Non-coding
NC_066859.1_29091823_29091712_Cucumis_melo,-1.258,none,none,Non-coding
NC_066859.1_29195777_29195563_Cucumis_melo,0,none,none,Non-coding
NC_066859.1_29292708_29293462_Cucumis_melo,0.136,none,none,Coding
NC_066859.1_29680204_29679906_Cucumis_melo,-1.555,none,none,Non-coding
NC_066859.1_29755824_29756328_Cucumis_melo,-0.048,none,none,Non-coding
NC_066859.1_29811535_29811407_Cucumis_melo,-0.904,none,none,Non-coding
NC_066859.1_30199164_30199068_Cucumis_melo,-0.65,none,none,Non-coding
NC_066859.1_30304556_30304643_Cucumis_melo,-1.037,none,none,Non-coding
NC_066859.1_30321755_30322142_Cucumis_melo,-1.166,none,none,Non-coding
NC_066859.1_30483707_30483600_Cucumis_melo,-1.255,none,none,Non-coding
NC_066859.1_30732911_30733018_Cucumis_melo,-0.324,none,none,Non-coding
NC_066859.1_30739541_30739381_Cucumis_melo,-0.795,none,none,Non-coding
NC_066859.1_30853640_30853819_Cucumis_melo,-1.366,none,none,Non-coding
NC_066859.1_30860202_30860338_Cucumis_melo,0.698,none,none,Coding
NC_066859.1_461030_461180_Cucumis_melo,-0.209,none,none,Non-coding
NC_066859.1_6141893_6141987_Cucumis_melo,-1.709,none,none,Non-coding
NC_066859.1_8294785_8294568_Cucumis_melo,-1.031,none,none,Non-coding
NC_066859.1_8940244_8940131_Cucumis_melo,-1.561,none,none,Non-coding
NC_066859.1_9857881_9858064_Cucumis_melo,-3,none,none,Non-coding
NC_066860.1_10205416_10205509_Cucumis_melo,-0.9,none,none,Non-coding
NC_066860.1_1131575_1131461_Cucumis_melo,-0.888,none,none,Non-coding
NC_066860.1_1246316_1246451_Cucumis_melo,2.231,none,none,Non-coding
NC_066860.1_14576321_14576439_Cucumis_melo,-0.914,none,none,Non-coding
NC_066860.1_14610627_14610414_Cucumis_melo,-0.82,none,none,Non-coding
NC_066860.1_14823941_14823796_Cucumis_melo,-0.341,none,none,Non-coding
NC_066860.1_14853282_14853601_Cucumis_melo,-1.36,none,none,Non-coding
NC_066860.1_15119532_15119653_Cucumis_melo,0.553,none,none,Coding
NC_066860.1_1549281_1549369_Cucumis_melo,0,none,none,Non-coding
NC_066860.1_16164179_16164097_Cucumis_melo,-3,none,none,Non-coding
NC_066860.1_16300990_16301139_Cucumis_melo,-0.286,none,none,Non-coding
NC_066860.1_16446906_16446815_Cucumis_melo,-0.632,none,none,Non-coding
NC_066860.1_16745875_16745329_Cucumis_melo,-0.523,none,none,Non-coding
NC_066860.1_16754586_16755023_Cucumis_melo,-0.065,none,none,Non-coding
NC_066860.1_16849246_16849549_Cucumis_melo,-0.817,none,none,Non-coding
NC_066860.1_1866698_1866869_Cucumis_melo,-1.17,none,none,Non-coding
NC_066860.1_20468752_20468844_Cucumis_melo,-1.3,none,none,Non-coding
NC_066860.1_20863704_20863858_Cucumis_melo,-1.042,none,none,Non-coding
NC_066860.1_20864112_20864238_Cucumis_melo,-1.348,none,none,Non-coding
NC_066860.1_21129970_21130141_Cucumis_melo,0,none,none,Non-coding
NC_066860.1_21522020_21522124_Cucumis_melo,-0.532,none,none,Non-coding
NC_066860.1_21646642_21646557_Cucumis_melo,-0.303,none,none,Non-coding
NC_066860.1_2180362_2180647_Cucumis_melo,-0.286,none,none,Non-coding
