Name,Score,Start,End,Fickett,pI,ORF_integrity,Label
OffNeg_NC_054857.1_3687631_3687823_Aspergillus_puulaauensis_revComp,0.0012674,none,none,0.5888,9.19879150391,0,noncoding
OffPos_NC_054860.1_677384_677823_Aspergillus_puulaauensis_revComp,0.00392158,none,none,0.5724,10.9032592773,0,noncoding
NC_054857.1_5140064_5139491_Aspergillus_puulaauensis_revComp,0.000154838,none,none,0.7357,10.1112670898,0,noncoding
Shuf_NC_054859.1_1537826_1537944_Aspergillus_puulaauensis_revComp,0.00559408,none,none,0.9688,5.58770751953,0,noncoding
Shuf_NC_054862.1_1229956_1229844_Aspergillus_puulaauensis_revComp,0.000164854,none,none,0.6118,5.58746337891,0,noncoding
OffNeg_NC_054862.1_3116090_3115635_Aspergillus_puulaauensis_revComp,0.0012449,none,none,0.6179,3.83880615234,0,noncoding
OffPos_NC_054857.1_4378005_4378125_Aspergillus_puulaauensis_revComp,0.00361903,none,none,0.7326,9.50006103516,0,noncoding
NC_054864.1_1407219_1407045_Aspergillus_puulaauensis_revComp,0.00272537,none,none,0.4096,5.27276611328,0,noncoding
OffNeg_NC_054861.1_4041175_4041392_Aspergillus_puulaauensis_revComp,9.13234e-05,none,none,0.7846,7.54046630859,0,noncoding
NC_054857.1_4503113_4504056_Aspergillus_puulaauensis_revComp,0.000857208,none,none,0.824,8.16131591797,0,noncoding
OffNeg_NC_054861.1_2641279_2641418_Aspergillus_puulaauensis_revComp,0.00218002,none,none,0.619,7.97528076172,0,noncoding
NC_054858.1_284315_285029_Aspergillus_puulaauensis_revComp,0.00359544,none,none,0.7402,12.0000610352,0,noncoding
OffPos_NC_054862.1_2923423_2924606_Aspergillus_puulaauensis_revComp,0.0170882,none,none,0.5057,9.09442138672,0,noncoding
NC_054859.1_2323240_2323341_Aspergillus_puulaauensis_revComp,0.00128542,none,none,0.5739,11.4022827148,0,noncoding
OffNeg_NC_054860.1_912082_912268_Aspergillus_puulaauensis_revComp,0.000958869,none,none,0.6164,4.70159912109,0,noncoding
OffPos_NC_054858.1_860099_859107_Aspergillus_puulaauensis_revComp,0.00388583,none,none,0.4889,9.95526123047,0,noncoding
NC_054860.1_654283_654061_Aspergillus_puulaauensis_revComp,0.000906787,none,none,0.5469,3.94647216797,0,noncoding
OffNeg_NC_054860.1_3508585_3508686_Aspergillus_puulaauensis_revComp,0.000187843,none,none,0.7161,9.12750244141,0,noncoding
