Name,Score,Label
OffNeg_NC_054857.1_3687631_3687823_Aspergillus_puulaauensis_revComp,-2.168180,Non-coding
OffPos_NC_054860.1_677384_677823_Aspergillus_puulaauensis_revComp,-1.372430,Non-coding
NC_054857.1_5140064_5139491_Aspergillus_puulaauensis_revComp,-1.617600,Non-coding
Shuf_NC_054859.1_1537826_1537944_Aspergillus_puulaauensis_revComp,-2.340310,Non-coding
Shuf_NC_054862.1_1229956_1229844_Aspergillus_puulaauensis_revComp,-2.477390,Non-coding
OffNeg_NC_054862.1_3116090_3115635_Aspergillus_puulaauensis_revComp,-0.995354,Non-coding
OffPos_NC_054857.1_4378005_4378125_Aspergillus_puulaauensis_revComp,-2.261480,Non-coding
NC_054864.1_1407219_1407045_Aspergillus_puulaauensis_revComp,-2.521460,Non-coding
OffNeg_NC_054861.1_4041175_4041392_Aspergillus_puulaauensis_revComp,-1.806730,Non-coding
NC_054857.1_4503113_4504056_Aspergillus_puulaauensis_revComp,-1.725790,Non-coding
OffNeg_NC_054861.1_2641279_2641418_Aspergillus_puulaauensis_revComp,-2.239950,Non-coding
NC_054858.1_284315_285029_Aspergillus_puulaauensis_revComp,-1.676550,Non-coding
OffPos_NC_054862.1_2923423_2924606_Aspergillus_puulaauensis_revComp,-0.218201,Non-coding
NC_054859.1_2323240_2323341_Aspergillus_puulaauensis_revComp,-2.287490,Non-coding
OffNeg_NC_054860.1_912082_912268_Aspergillus_puulaauensis_revComp,-2.233600,Non-coding
OffPos_NC_054858.1_860099_859107_Aspergillus_puulaauensis_revComp,-0.970194,Non-coding
NC_054860.1_654283_654061_Aspergillus_puulaauensis_revComp,-1.989160,Non-coding
OffNeg_NC_054860.1_3508585_3508686_Aspergillus_puulaauensis_revComp,-2.226980,Non-coding
OffPos_NC_054861.1_3093049_3092855_Aspergillus_puulaauensis_revComp,-2.273950,Non-coding
OffNeg_NC_054857.1_4877398_4877068_Aspergillus_puulaauensis_revComp,-1.986310,Non-coding
NC_054860.1_2660251_2660020_Aspergillus_puulaauensis_revComp,-1.740000,Non-coding
OffPos_NC_054860.1_2600966_2601408_Aspergillus_puulaauensis_revComp,-1.463720,Non-coding
OffPos_NC_054857.1_5824477_5824642_Aspergillus_puulaauensis_revComp,-2.222350,Non-coding
OffPos_NC_054863.1_684780_685586_Aspergillus_puulaauensis_revComp,-1.352830,Non-coding
OffPos_NC_054859.1_274498_274721_Aspergillus_puulaauensis_revComp,-1.939650,Non-coding
NC_054858.1_48650_48864_Aspergillus_puulaauensis_revComp,-2.042430,Non-coding
NC_054860.1_1988396_1989461_Aspergillus_puulaauensis_revComp,-1.669440,Non-coding
OffNeg_NC_054857.1_3062689_3062778_Aspergillus_puulaauensis_revComp,-2.296240,Non-coding
OffPos_NC_054861.1_4062017_4062604_Aspergillus_puulaauensis_revComp,-0.598266,Non-coding
Shuf_NC_054858.1_305736_305911_Aspergillus_puulaauensis_revComp,-2.168390,Non-coding
Shuf_NC_054859.1_3748712_3748911_Aspergillus_puulaauensis_revComp,-2.198920,Non-coding
OffNeg_NC_054863.1_1602291_1602724_Aspergillus_puulaauensis_revComp,-2.218140,Non-coding
OffNeg_NC_054862.1_989615_990377_Aspergillus_puulaauensis_revComp,-1.044510,Non-coding
OffPos_NC_054858.1_124772_124433_Aspergillus_puulaauensis_revComp,-1.719230,Non-coding
OffNeg_NC_054863.1_1264024_1264111_Aspergillus_puulaauensis_revComp,-2.311040,Non-coding
OffNeg_NC_054858.1_1092994_1093079_Aspergillus_puulaauensis_revComp,-2.234220,Non-coding
OffNeg_NC_054862.1_410627_410963_Aspergillus_puulaauensis_revComp,-2.187150,Non-coding
Shuf_NC_054863.1_1759690_1759835_Aspergillus_puulaauensis_revComp,-2.358700,Non-coding
OffPos_NC_054857.1_3877031_3876739_Aspergillus_puulaauensis_revComp,-1.637970,Non-coding
Shuf_NC_054858.1_580034_581129_Aspergillus_puulaauensis_revComp,-1.960400,Non-coding
OffNeg_NC_054862.1_1447374_1448367_Aspergillus_puulaauensis_revComp,-2.349920,Non-coding
OffPos_NC_054857.1_300743_300841_Aspergillus_puulaauensis_revComp,-2.216680,Non-coding
NC_054862.1_105806_105679_Aspergillus_puulaauensis_revComp,-2.143510,Non-coding
OffPos_NC_054864.1_2098595_2098508_Aspergillus_puulaauensis_revComp,-2.256100,Non-coding
OffPos_NC_054860.1_914265_914480_Aspergillus_puulaauensis_revComp,-2.341170,Non-coding
Shuf_NC_054861.1_2904237_2904604_Aspergillus_puulaauensis_revComp,-2.181640,Non-coding
NC_054860.1_3992945_3992860_Aspergillus_puulaauensis_revComp,-2.311880,Non-coding
OffPos_NC_054859.1_1082673_1082460_Aspergillus_puulaauensis_revComp,-2.541230,Non-coding
OffPos_NC_054863.1_370913_370413_Aspergillus_puulaauensis_revComp,-2.388770,Non-coding
OffPos_NC_054862.1_504328_503950_Aspergillus_puulaauensis_revComp,-2.241540,Non-coding
OffPos_NC_054858.1_3429858_3429511_Aspergillus_puulaauensis_revComp,-1.444050,Non-coding
NC_054860.1_2177184_2176969_Aspergillus_puulaauensis_revComp,-2.224800,Non-coding
OffNeg_NC_054858.1_2060888_2060705_Aspergillus_puulaauensis_revComp,-1.783760,Non-coding
NC_054858.1_4357612_4357822_Aspergillus_puulaauensis_revComp,-2.458740,Non-coding
NC_054860.1_1885525_1885321_Aspergillus_puulaauensis_revComp,-2.059360,Non-coding
NC_054862.1_1925380_1925785_Aspergillus_puulaauensis_revComp,-2.251920,Non-coding
OffPos_NC_054857.1_3183845_3183685_Aspergillus_puulaauensis_revComp,-2.606000,Non-coding
