Name,Score,Label
NC_058374.1_141858160_141857991_Felis_catus_revComp,0.22199,noncoding
OffPos_NC_058386.1_53534623_53534760_Felis_catus_revComp,0.08620,noncoding
OffNeg_NC_058378.1_78594362_78594704_Felis_catus_revComp,0.11523,noncoding
OffPos_NC_058377.1_110318666_110318887_Felis_catus_revComp,0.03894,noncoding
Shuf_NC_058372.1_40944271_40944393_Felis_catus_revComp,0.05322,noncoding
NC_058379.1_32443386_32443302_Felis_catus_revComp,0.50340,coding
OffPos_NC_058386.1_127236196_127236086_Felis_catus_revComp,0.16452,noncoding
OffNeg_NC_058381.1_55328795_55328889_Felis_catus_revComp,0.06576,noncoding
OffPos_NC_058375.1_79480113_79480001_Felis_catus_revComp,0.05906,noncoding
Shuf_NC_058376.1_2337722_2337613_Felis_catus_revComp,0.34015,noncoding
NC_058374.1_107858058_107858187_Felis_catus_revComp,0.15434,noncoding
Shuf_NC_058375.1_71562945_71562810_Felis_catus_revComp,0.05729,noncoding
OffNeg_NC_058369.1_156879842_156880021_Felis_catus_revComp,0.74495,coding
Shuf_NC_058374.1_117766455_117766561_Felis_catus_revComp,0.10141,noncoding
NC_058385.1_17656701_17656831_Felis_catus_revComp,0.29438,noncoding
OffNeg_NC_058379.1_1214706_1214579_Felis_catus_revComp,0.01415,noncoding
OffPos_NC_058381.1_25549008_25549092_Felis_catus_revComp,0.19991,noncoding
NC_058374.1_56966855_56966551_Felis_catus_revComp,0.04757,noncoding
Shuf_NC_058370.1_35333473_35333624_Felis_catus_revComp,0.14314,noncoding
OffPos_NC_058368.1_51189148_51189025_Felis_catus_revComp,0.11609,noncoding
Shuf_NC_058372.1_124851719_124851848_Felis_catus_revComp,0.34803,noncoding
OffPos_NC_058381.1_1820045_1819961_Felis_catus_revComp,0.25616,noncoding
OffPos_NC_058372.1_39909320_39908405_Felis_catus_revComp,0.02768,noncoding
OffPos_NC_058384.1_63022577_63022754_Felis_catus_revComp,0.37307,noncoding
OffNeg_NC_058368.1_197344342_197344427_Felis_catus_revComp,0.06910,noncoding
OffPos_NC_058369.1_10170702_10170849_Felis_catus_revComp,0.05591,noncoding
OffNeg_NC_058373.1_36087583_36087440_Felis_catus_revComp,0.03485,noncoding
OffPos_NC_058374.1_138492231_138492600_Felis_catus_revComp,0.49537,noncoding
OffNeg_NC_058370.1_101336856_101337025_Felis_catus_revComp,0.05398,noncoding
NC_058370.1_21760473_21760352_Felis_catus_revComp,0.11041,noncoding
OffNeg_NC_058375.1_202642133_202642325_Felis_catus_revComp,0.02809,noncoding
OffNeg_NC_058375.1_189468070_189468199_Felis_catus_revComp,0.02417,noncoding
Shuf_NC_058375.1_200856515_200856972_Felis_catus_revComp,0.19544,noncoding
OffNeg_NC_058371.1_159897821_159897630_Felis_catus_revComp,0.03804,noncoding
OffPos_NC_058374.1_132103600_132103489_Felis_catus_revComp,0.01250,noncoding
NC_058375.1_92895071_92894944_Felis_catus_revComp,0.10123,noncoding
OffPos_NC_058373.1_110818992_110819082_Felis_catus_revComp,0.15586,noncoding
OffPos_NC_058380.1_56845549_56845389_Felis_catus_revComp,0.15442,noncoding
Shuf_NC_058375.1_23906121_23906004_Felis_catus_revComp,0.06355,noncoding
OffPos_NC_058381.1_38511448_38511588_Felis_catus_revComp,0.03302,noncoding
OffNeg_NC_058382.1_25013601_25013418_Felis_catus_revComp,0.06514,noncoding
OffPos_NC_058378.1_59899327_59899417_Felis_catus_revComp,0.02419,noncoding
NC_058377.1_43377493_43377395_Felis_catus_revComp,0.01901,noncoding
Shuf_NC_058373.1_98139304_98139552_Felis_catus_revComp,0.08978,noncoding
OffNeg_NC_058375.1_29001701_29001516_Felis_catus_revComp,0.03118,noncoding
OffNeg_NC_058373.1_50567699_50567186_Felis_catus_revComp,0.03660,noncoding
OffPos_NC_058369.1_160370390_160370534_Felis_catus_revComp,0.01701,noncoding
Shuf_NC_058372.1_35210487_35211546_Felis_catus_revComp,0.35652,noncoding
NC_058384.1_10344960_10345053_Felis_catus_revComp,0.02275,noncoding
OffPos_NW_025408510.1_130843_130705_Felis_catus_revComp,0.06521,noncoding
OffPos_NC_058374.1_103054699_103054577_Felis_catus_revComp,0.02645,noncoding
OffPos_NC_058369.1_18424421_18424229_Felis_catus_revComp,0.06952,noncoding
NC_058376.1_73413036_73413169_Felis_catus_revComp,0.02909,noncoding
OffNeg_NC_058373.1_55535779_55535623_Felis_catus_revComp,0.02639,noncoding
OffNeg_NC_058377.1_99266518_99266322_Felis_catus_revComp,0.07417,noncoding
NC_058369.1_125610264_125610164_Felis_catus_revComp,0.02166,noncoding
NC_058384.1_13528225_13528578_Felis_catus_revComp,0.64352,coding
OffNeg_NC_058372.1_33982004_33982108_Felis_catus_revComp,0.04990,noncoding
NC_058376.1_78110349_78110220_Felis_catus_revComp,0.03606,noncoding
NC_058378.1_34433391_34433532_Felis_catus_revComp,0.06865,noncoding
OffPos_NC_058374.1_82397452_82397324_Felis_catus_revComp,0.02535,noncoding
OffPos_NC_058378.1_39641529_39641906_Felis_catus_revComp,0.10182,noncoding
OffNeg_NC_058372.1_53650398_53650278_Felis_catus_revComp,0.04748,noncoding
OffNeg_NC_058372.1_134544290_134544132_Felis_catus_revComp,0.09907,noncoding
NC_058385.1_23012132_23012022_Felis_catus_revComp,0.35263,noncoding
NC_058384.1_2877076_2876833_Felis_catus_revComp,0.09173,noncoding
NC_058368.1_123601720_123601852_Felis_catus_revComp,0.11775,noncoding
NC_058374.1_136067797_136067624_Felis_catus_revComp,0.19717,noncoding
NC_058385.1_66476772_66476636_Felis_catus_revComp,0.05964,noncoding
OffNeg_NC_058368.1_139073729_139073580_Felis_catus_revComp,0.04484,noncoding
Shuf_NC_058383.1_41198750_41198655_Felis_catus_revComp,0.05799,noncoding
OffPos_NC_058377.1_3164728_3164618_Felis_catus_revComp,0.06324,noncoding
Shuf_NC_058371.1_51638112_51637874_Felis_catus_revComp,0.13390,noncoding
OffPos_NC_058382.1_60648999_60648891_Felis_catus_revComp,0.10841,noncoding
OffNeg_NC_058372.1_32080855_32080770_Felis_catus_revComp,0.11810,noncoding
OffNeg_NC_058371.1_137128970_137129095_Felis_catus_revComp,0.02307,noncoding
OffPos_NC_058386.1_57501119_57501242_Felis_catus_revComp,0.04315,noncoding
OffNeg_NC_058372.1_30114521_30114629_Felis_catus_revComp,0.05021,noncoding
Shuf_NC_058374.1_77919233_77919101_Felis_catus_revComp,0.19732,noncoding
Shuf_NC_058381.1_58246934_58246775_Felis_catus_revComp,0.75054,coding
OffNeg_NC_058383.1_40747792_40747711_Felis_catus_revComp,0.27571,noncoding
NC_058378.1_54719000_54718827_Felis_catus_revComp,0.80487,coding
NC_058375.1_24028373_24028213_Felis_catus_revComp,0.28071,noncoding
OffNeg_NC_058374.1_26668877_26669091_Felis_catus_revComp,0.02944,noncoding
NC_058375.1_27904211_27904306_Felis_catus_revComp,0.12599,noncoding
Shuf_NC_058376.1_143292808_143292720_Felis_catus_revComp,0.11515,noncoding
OffNeg_NC_058375.1_102952962_102952747_Felis_catus_revComp,0.21728,noncoding
Shuf_NC_058377.1_112740752_112740641_Felis_catus_revComp,0.78286,coding
Shuf_NC_058369.1_9932295_9932457_Felis_catus_revComp,0.03267,noncoding
OffNeg_NC_058379.1_1050210_1049958_Felis_catus_revComp,0.04661,noncoding
NC_058373.1_3187705_3187620_Felis_catus_revComp,0.07907,noncoding
Shuf_NC_058379.1_44193603_44193760_Felis_catus_revComp,0.41250,noncoding
OffPos_NC_058379.1_77419969_77420082_Felis_catus_revComp,0.08699,noncoding
OffNeg_NC_058378.1_12196388_12196273_Felis_catus_revComp,0.02383,noncoding
OffNeg_NC_058372.1_98419687_98419466_Felis_catus_revComp,0.05566,noncoding
OffPos_NC_058373.1_53552510_53552286_Felis_catus_revComp,0.03782,noncoding
OffPos_NC_058375.1_8782131_8782388_Felis_catus_revComp,0.01855,noncoding
NC_058384.1_53651939_53651444_Felis_catus_revComp,0.04400,noncoding
OffPos_NC_058381.1_269475_269374_Felis_catus_revComp,0.03629,noncoding
OffNeg_NC_058382.1_23420530_23420923_Felis_catus_revComp,0.07366,noncoding
Shuf_NC_058369.1_60744698_60744792_Felis_catus_revComp,0.87101,coding
Shuf_NC_058369.1_11366856_11366725_Felis_catus_revComp,0.04233,noncoding
Shuf_NC_058369.1_151137441_151137321_Felis_catus_revComp,0.12105,noncoding
OffNeg_NC_058374.1_79388743_79388623_Felis_catus_revComp,0.04893,noncoding
OffPos_NC_058369.1_59677801_59677665_Felis_catus_revComp,0.03318,noncoding
OffNeg_NC_058377.1_54476809_54476969_Felis_catus_revComp,0.03570,noncoding
OffPos_NC_058374.1_83448929_83449062_Felis_catus_revComp,0.07937,noncoding
NC_058375.1_51016465_51016264_Felis_catus_revComp,0.04671,noncoding
NC_058381.1_1461942_1462041_Felis_catus_revComp,0.12981,noncoding
OffNeg_NC_058378.1_60180159_60179545_Felis_catus_revComp,0.31430,noncoding
NC_058368.1_139486900_139486810_Felis_catus_revComp,0.09263,noncoding
NC_058381.1_45730142_45730022_Felis_catus_revComp,0.05532,noncoding
OffNeg_NC_058382.1_15277624_15277543_Felis_catus_revComp,0.03026,noncoding
NC_058369.1_52160788_52160892_Felis_catus_revComp,0.03603,noncoding
OffNeg_NC_058374.1_19787353_19787176_Felis_catus_revComp,0.04732,noncoding
NC_058369.1_9890785_9890478_Felis_catus_revComp,0.79997,coding
OffNeg_NC_058368.1_72123430_72123293_Felis_catus_revComp,0.09394,noncoding
OffPos_NC_058383.1_39445450_39444950_Felis_catus_revComp,0.06187,noncoding
OffNeg_NC_058382.1_3034747_3034432_Felis_catus_revComp,0.06563,noncoding
OffPos_NC_058375.1_45977106_45976991_Felis_catus_revComp,0.10637,noncoding
OffNeg_NC_058375.1_53229625_53229774_Felis_catus_revComp,0.02745,noncoding
OffPos_NC_058379.1_19219564_19219450_Felis_catus_revComp,0.06310,noncoding
Shuf_NC_058375.1_92679025_92679180_Felis_catus_revComp,0.06554,noncoding
NC_058371.1_35713563_35713422_Felis_catus_revComp,0.14265,noncoding
NC_058371.1_202215790_202215976_Felis_catus_revComp,0.17447,noncoding
OffPos_NC_058368.1_192327387_192327550_Felis_catus_revComp,0.08717,noncoding
NC_058370.1_12517716_12517626_Felis_catus_revComp,0.21375,noncoding
Shuf_NC_058375.1_19209026_19209107_Felis_catus_revComp,0.08273,noncoding
OffPos_NC_058375.1_166405294_166405199_Felis_catus_revComp,0.20837,noncoding
Shuf_NC_058386.1_93796257_93796136_Felis_catus_revComp,0.32358,noncoding
OffNeg_NC_058375.1_182251010_182250882_Felis_catus_revComp,0.03752,noncoding
OffNeg_NC_058372.1_94670467_94670333_Felis_catus_revComp,0.02681,noncoding
OffPos_NC_058371.1_135629679_135629907_Felis_catus_revComp,0.36888,noncoding
OffPos_NC_058373.1_102571516_102571424_Felis_catus_revComp,0.02469,noncoding
OffPos_NC_058371.1_33795926_33795845_Felis_catus_revComp,0.49385,noncoding
Shuf_NC_058377.1_6775700_6775612_Felis_catus_revComp,0.27605,noncoding
OffNeg_NC_058370.1_90408651_90408558_Felis_catus_revComp,0.04081,noncoding
NC_058369.1_101763682_101763769_Felis_catus_revComp,0.04721,noncoding
Shuf_NC_058370.1_23588489_23588647_Felis_catus_revComp,0.49743,noncoding
NC_058370.1_28363054_28363204_Felis_catus_revComp,0.09411,noncoding
Shuf_NC_058370.1_118605430_118605190_Felis_catus_revComp,0.10548,noncoding
OffPos_NC_058375.1_131731292_131731163_Felis_catus_revComp,0.07087,noncoding
OffNeg_NC_058369.1_163474157_163473983_Felis_catus_revComp,0.03389,noncoding
Shuf_NC_058369.1_38388531_38388348_Felis_catus_revComp,0.04935,noncoding
OffNeg_NC_058375.1_126082364_126082267_Felis_catus_revComp,0.04806,noncoding
NC_058373.1_33567353_33567564_Felis_catus_revComp,0.08252,noncoding
OffNeg_NC_058372.1_144100880_144101020_Felis_catus_revComp,0.09088,noncoding
OffNeg_NC_058368.1_70915411_70915048_Felis_catus_revComp,0.01754,noncoding
OffPos_NC_058373.1_32269105_32268970_Felis_catus_revComp,0.03011,noncoding
OffPos_NC_058373.1_74727585_74727434_Felis_catus_revComp,0.04395,noncoding
OffNeg_NC_058381.1_11435290_11435388_Felis_catus_revComp,0.05825,noncoding
OffPos_NC_058378.1_9199194_9199358_Felis_catus_revComp,0.02832,noncoding
OffPos_NC_058372.1_66310274_66310120_Felis_catus_revComp,0.13155,noncoding
NC_058382.1_60743874_60743756_Felis_catus_revComp,0.70216,coding
Shuf_NC_058381.1_50808865_50808993_Felis_catus_revComp,0.33645,noncoding
OffNeg_NC_058379.1_5686264_5686443_Felis_catus_revComp,0.09084,noncoding
OffNeg_NC_058372.1_120647667_120647544_Felis_catus_revComp,0.03240,noncoding
NC_058368.1_218669458_218670340_Felis_catus_revComp,0.00716,noncoding
OffPos_NC_058378.1_87146520_87146343_Felis_catus_revComp,0.05313,noncoding
OffPos_NC_058379.1_25917844_25917977_Felis_catus_revComp,0.02306,noncoding
NC_058370.1_62450613_62450712_Felis_catus_revComp,0.03207,noncoding
NC_058370.1_43626728_43626815_Felis_catus_revComp,0.14305,noncoding
OffNeg_NC_058375.1_85491265_85491698_Felis_catus_revComp,0.12205,noncoding
OffNeg_NC_058371.1_15689526_15689430_Felis_catus_revComp,0.58681,coding
OffNeg_NC_058369.1_70155111_70155294_Felis_catus_revComp,0.04026,noncoding
NC_058370.1_12533599_12533396_Felis_catus_revComp,0.08306,noncoding
Shuf_NC_058369.1_12707516_12707350_Felis_catus_revComp,0.93103,coding
Shuf_NC_058372.1_15032631_15032769_Felis_catus_revComp,0.40850,noncoding
OffPos_NC_058376.1_157513417_157513572_Felis_catus_revComp,0.03670,noncoding
OffNeg_NC_058374.1_93801683_93801523_Felis_catus_revComp,0.07422,noncoding
OffPos_NC_058377.1_108713942_108714053_Felis_catus_revComp,0.20801,noncoding
OffPos_NC_058376.1_11725987_11726200_Felis_catus_revComp,0.01912,noncoding
NC_058385.1_35713032_35712883_Felis_catus_revComp,0.45477,noncoding
OffNeg_NC_058375.1_159630241_159630129_Felis_catus_revComp,0.02589,noncoding
NC_058375.1_212233517_212233613_Felis_catus_revComp,0.04437,noncoding
NC_058372.1_5540415_5540718_Felis_catus_revComp,0.05435,noncoding
NC_058386.1_87954893_87954752_Felis_catus_revComp,0.22786,noncoding
OffNeg_NC_058375.1_203445134_203445361_Felis_catus_revComp,0.15644,noncoding
NC_058380.1_83972422_83972280_Felis_catus_revComp,0.04263,noncoding
NC_058380.1_57529399_57529578_Felis_catus_revComp,0.05860,noncoding
OffNeg_NC_058369.1_25584906_25584711_Felis_catus_revComp,0.05536,noncoding
